title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Dial Material,Ideal For,Compatible OS,Brand Strap Color,Closure,Sensor,Notification,Notification Type,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Other Features,Call Function,Bluetooth,Wi-Fi,GPS,Messaging Support,Bluetooth Version,Operating Range,Call Features,Third Party App Support,Display Resolution,Display Size,Display Type,Other Camera Features,Backlight Display,Scratch Resistant,Other Display Features,Calorie Count,Step Count,Heart Rate Monitor,Altimeter,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Chronograph,Language,Number of Buttons,Other Watch Functions,Speaker,Microphone,Audio Features,Gesture Control,Voice Control,Other Multimedia Features,Width,Height,Thickness,Weight,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Dial Color,Maximum Operating Altitude,Compatible Device,Talk time,Stand By Time,Operating System,RAM,Internal Memory,Email Support,Other Connectivity Features,Flash,Supported Audio Format,Speaker Volume,International Warranty,Number of Cores,Processor Name,Other Dimensions,Processor Speed,Compatible Operating System,Primary Camera,Diameter,Video Features,Expandable Memory,Supported Video Format,HD Recording,HD Playback
Moktu T800 / S8 / T900/ T10 ULTRA SMART WATCH 4G T-25 S...,₹628,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/d/4/49-new-t800-smartwatch-android-ios-congi-yes-original-imagxh8eantbcagd.jpeg?q=70,https://www.flipkart.com/moktu-t800-s8-t900-t10-ultra-smart-watch-4g-t-25-smartwatch/p/itmb5667e851070d?pid=SMWH3GWETEKNAQYU&lid=LSTSMWH3GWETEKNAQYU7IYDDM&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_11_421&otracker=search&fm=organic&iid=en_Z-ZqnZlCVsoQaDknxvQi03j-1TpM-axjywngH99SLw_E8SbqkE72_NNZtDueKJUOGX3_FNjeovK9UnRZm_iahA%3D%3D&ppt=None&ppn=None&ssid=y10wgdcrts0000001738524904262&qH=87968ec020b2016b,2025-02-02 20:35:04,"Smart watch, Wireless Charger, User Manual,Smart watch Strap",T800 Ultra smart watch with WiFi GPS 4G,T800 / S8 / T900/ T10 ULTRA SMART WATCH 4G T-25,Square,Orange,Silicone,Free Size,Yes,Yes,,Watchphone,Aluminium,Men & Women,Android & iOS,Orange,,"Accelerometer, Gyroscope, Proximity Sensor","Calendar Reminder, Missed Call Notification","Ringer, Vibration",Lithium Ion,60 min,3 Days,Yes,Wireless,,Yes,Yes,,,Yes,,,"Mute Calls, Reject Calls, Take Calls, Speed Dial",,320 x 320 pixel,49 44,AMOLED,,Yes,Yes,"Additional Features are Blood oxygen and Blood Pressure Monitor, Multisports modes, Sedentary Reminder, Find Phone, Bluetooth, and many more. This smartwatch has a 400 mAh battery capacity with 2-3 days of normal usage and 7 days of standby time.",Yes,Yes,Yes,Yes,,Date & Time,,Yes,Yes,Yes,,3,,Yes,Yes,,,,,,,,,,,,,,,,,72 hr,72 hr,,,,Yes,,,,,,,,,,,,,,,,,
PunnkFunnk T800 ultra Series 8 smart watch with AI assi...,₹646,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/a/u/n/49-fl-t800-grey-fg-new-android-ios-tunifi-yes-original-imah5f6gdzzedfhu.jpeg?q=70,https://www.flipkart.com/punnkfunnk-t800-ultra-series-8-smart-watch-ai-assistant-bluetooth-calling-fitness-smartwatch/p/itmde5c565789f10?pid=SMWHYYMEDHSCZEPP&lid=LSTSMWHYYMEDHSCZEPPRG2FKC&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_11_425&otracker=search&fm=organic&iid=f4711321-8010-4889-98a6-6f662702be85.SMWHYYMEDHSCZEPP.SEARCH&ppt=None&ppn=None&ssid=y10wgdcrts0000001738524904262&qH=87968ec020b2016b,2025-02-02 20:35:04,1 smartwatch,Fl_ T800 Grey-FG New,"T800 ultra Series 8 smart watch with AI assistant, bluetooth calling and fitness",Rectangle,Grey,Silicone,2 Inch Large Sunlight Proof Display,Yes,Yes,0.5 m,"Fitness & Outdoor, Health & Medical",Stainless Steel Super Amoled display,Men,Android & iOS,Grey,yes,Fitness Health sports tracker,"Call reminder, SMS Reminder, Health and fitness reminder, App notifications, Alarm and calendar reminder",vibrate and ringing,Lithium Polymer,100 min,2 Days Max after all things used but Normal 5 Days Battery run Proper,Yes,Wireless Charger,"Best watch: Recognized for its outstanding performance and user satisfaction., Fashion watch: Combines style with functionality for a trendy look., Luxury watch: A premium timepiece crafted with high-quality materials and superior design.",Yes,Yes,No,No,No,5.0,10 m,"Take Calls, Reject, Missed Calls, Dial Pad, Contacts",HI watch & hry fine,300X300 pixel,49 mm,AMOLED,remote Sutter,Yes,Yes,"Sunlight Proof display, 2 Inch Large Display, All words & apps clearly view no small app no small word, Amoled display",Yes,Yes,Yes,No,"Heart rate, Blood pressure, Blood oxygen, Time display, Step counting,Calories Distance, with game",Yes,No,Yes,Yes,No,English,3,"Heart rate, Blood pressure, Blood oxygen, Time display, Step counting,Calories Distance,, BT call?Play music?Messages reminder?Pedometer?Distance?Calories?Sleep monitoring?Heart rate?Calendar?Raise-to-wake?Intelligent
voice?Call records?SMS?Alarm?Remote camera?Dial?Phone book?Calculator?Clock?Ringtone settings,body temperature monitor
Waterproof: IP67 Waterproof",Yes,Yes,Noise Cancellation,"Make Calls, Answer Calls, Mute Rejects Calls, Missed calls show, Contacts",Yes,Music controlMaking and receiving calls:health and fitnessApp Notifications,,,,,3 month warranty,3 month warranty,Manufacturing Defects,Physical Damage,3 Months,Gold,10 m,,1 hr,50 hr,Android and ios,768 MB,2 GB,No,App and Bluetooth,yes,Mp3,"Low 40 dB, Medium 60 dB, High 100 dB",0 Months,,,,,,,,,,,,
"Fire-Boltt Retro 39.1mm (1.54) Display, Bluetooth call,...","₹1,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/3/q/-original-imah7yt6gdntymfg.jpeg?q=70,https://www.flipkart.com/fire-boltt-retro-39-1mm-1-54-display-bluetooth-call-voice-assistance-steel-straps-smartwatch/p/itm4194f1360ade7?pid=SMWGXE8UUZGUNFE6&lid=LSTSMWGXE8UUZGUNFE6S0DGOS&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_11_429&otracker=search&fm=organic&iid=f4711321-8010-4889-98a6-6f662702be85.SMWGXE8UUZGUNFE6.SEARCH&ppt=None&ppn=None&ssid=y10wgdcrts0000001738524904262&qH=87968ec020b2016b,2025-02-02 20:35:04,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW175,"Retro 39.1mm (1.54) Display, Bluetooth call, Voice Assistance, Steel Straps",Square,Black,Stainless steel,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Stainless Steel,Men & Women,Android & iOS,Black,Buckle,"Accelerometer, Heart Rate Monitor (HRM), Microphone/Speaker, Pulse Oximeter, Capacitive Touchscreen","Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",Vibrate,Lithium Ion,180 min,Upto 5 days based upon usage,Yes,USB Cable,,Yes,Yes,No,No,No,v5.0 + v3.0,10 m,"Reject Calls, Take Calls",,240 x 240 Pixel,39.116 mm,TFT,,No,Yes,1.54 inch TFT colorful screen resolution: 240*240,Yes,Yes,Yes,No,"SPO2, Heart Rate Tracking, Sports Data Analysis, Sleep Tracking, Step Count, Calorie Count, Distance Measurement, Multiple Sports Mode",,No,No,Yes,No,English German Korean Spanish Japanese French Russian Arabic Ukrainian Italian Portuguese,2,,Yes,Yes,,,,,50.4 mm,13.6 mm,13.6 mm,600 g,Covers Manufacturing Defects,Customer Support,Manufacturing Defects,Physical & Water Damage,1 Year,,,All Android & iOs compatible devices,,,,,,No,,,,,,,,,,,,39.116 mm,,,,,
"Boult Cosmic R 1.39 inch HD, BT Calling, Zinc Alloy Fra...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/m/1/-original-imagyxzhrmfkwqty.jpeg?q=70,https://www.flipkart.com/boult-cosmic-r-1-39-inch-hd-bt-calling-zinc-alloy-frame-spo2-tracking-smartwatch/p/itmf534e1cd193ff?pid=SMWGX9TEHA8QZPFM&lid=LSTSMWGX9TEHA8QZPFMESLYF9&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_11_433&otracker=search&fm=organic&iid=f4711321-8010-4889-98a6-6f662702be85.SMWGX9TEHA8QZPFM.SEARCH&ppt=None&ppn=None&ssid=y10wgdcrts0000001738524904262&qH=87968ec020b2016b,2025-02-02 20:35:04,"User Manual, Smartwatch, Charging Cable, Warranty Card",BA-FK-Cosmic R-Pure Black,"Cosmic R 1.39 inch HD, BT Calling, Zinc Alloy Frame, SpO2 Tracking",Round,Black,Silicone,Free Size,Yes,Yes,1.5 mm,Fitness & Outdoor,,Men & Women,Android & iOS,Pure Black,,"Real Heart rate, SPO2, Pedometer","Social Media, Messages, Incoming Calls, Emails, Water Drink reminder, sedentary reminder",Vibrate,Lithium Polymer,120 min,Upto 5 Days,Yes,Magnetic Charging Cable,,Yes,Yes,,No,,v5.1,10 m,"Pick up incoming calls, reject incoming calls, dial, Dedicated Speaker and Mic",,240 x 240 Pixel,35.306 mm,,,Yes,No,,,Yes,,No,120+ Workout modes,Date and Time,No,No,Yes,No,English (default),1,,Yes,Yes,,,,,,250 mm,,40 g,1 Year Warranty from the date of purchase,Repair or Replace,Any kind of technical issue,,,,,Smartphone,,,,,,,,,,,,,,,,,,,,,,,
JOKIN HD Display Smartwatch: The Next Generation of wom...,"₹1,234",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/v/g/n/35-g9-android-ios-jokin-yes-original-imah7pc2hecusqrb.jpeg?q=70,https://www.flipkart.com/jokin-hd-display-smartwatch-next-generation-women-fitness-health-music-alarm-smartwatch/p/itm00a82ffc7cba8?pid=SMWH79SMZP25GA6J&lid=LSTSMWH79SMZP25GA6JDDKYRB&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_11_437&otracker=search&fm=organic&iid=en_Z-ZqnZlCVsoQaDknxvQi03j-1TpM-axjywngH99SLw8y6akx7bvHXe4AMQsWWTZ_8rji5tJUXYuMcVDB0e93VA%3D%3D&ppt=None&ppn=None&ssid=y10wgdcrts0000001738524904262&qH=87968ec020b2016b,2025-02-02 20:35:04,1 smartwatch,G9,HD Display Smartwatch: The Next Generation of women Fitness Health Music Alarm,Round,"Gold, Pink",Stainless steel,Free size,Yes,No,0.5 m,"Fitness & Outdoor, Watchphone, Notifier, Safety & Security, Health & Medical",Stainless Steel,Men & Women,Android & iOS,"Pink, Gold",Buckle lock,Heart rate monitoring Pedometer calorie consumption Exercise mileage record Sedentary reminder Sleep Monitoring Blood pressure monitor Weather Forecast,"Call, SMS, Health and fitness, SOS, Alert, App notifications","Ringer, Vibration",Lithium Polymer,120 min,NA,Yes,USB,,Yes,Yes,No,No,Yes,5,10 m,,NA,420*420 pixel,35 mm,AMOLED,,Yes,Yes,"Sunlight Proof display, 2 Inch Large Display, All words & apps clearly view no small app no small word, Amoled display",Yes,Yes,Yes,,"Heart rate, Blood pressure, Blood oxygen, Time display, Step counting,Calories Distance, with game",yes,Yes,Yes,Yes,,Multi Language,,"Heart rate, Blood pressure, Blood oxygen, Time display, Step counting,Calories Distance,, BT call?Play music?Messages reminder?Pedometer?Distance?Calories?Sleep monitoring?Heart rate?Calendar?Raise-to-wake?Intelligent voice?Call records?SMS?Alarm?Remote camera?Dial?Phone book?Calculator?Clock?Ringtone settings,body temperature monitor Waterproof: IP67 Waterproof",yes,yes,yes,WRIST GESTURE,Yes,,,,,,NA,NA,NA,NA,,Rose Gold,,All Smartphone,,,android & ios,768 MB,1 GB,,,,mp3,,,,,,,,,,NA,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:35:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:35:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,₹535,3.6,Data not available,Image not available,URL not available,2025-02-02 20:35:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:35:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:35:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:35:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"INNOMAX S20 Force 2.01"" Display Smart Watch with Blueto...",₹649,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/b/q/m/51-s20-force-all-blk-android-ios-innomax-yes-original-imah888ezp6h2gpf.jpeg?q=70,https://www.flipkart.com/innomax-s20-force-2-01-display-smart-watch-bluetooth-calling-men-women-smartwatch/p/itm47c77fef1dc86?pid=SMWH8856TVGYYNDY&lid=LSTSMWH8856TVGYYNDYJDOT6L&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_12_441&otracker=search&fm=organic&iid=en_gMS0NzqMRniSd1riNeRwXJIDKp-Mh8dYETgPh_ju99ZD6FeCVjs_cdC9T58dX9rU2UFnd0wXIbskO3ln5UJ4nw%3D%3D&ppt=None&ppn=None&ssid=miam6ks00w0000001738524932409&qH=87968ec020b2016b,2025-02-02 20:35:32,1 Smartwatch,S20_force-All_Blk,"S20 Force 2.01"" Display Smart Watch with Bluetooth Calling, for Men and Women",Rectangle,Black,Silicone,Free Size,Yes,Yes,,"Fitness & Outdoor, Notifier, Watchphone",Stainless Steel,Men & Women,Android & iOS,Black,buckle,"Bluetooth Calling, SpO2, Optical Heart Rate Sensor, Accelerometer, Gyro Sensor, Light Sensor.","Call, SMS, Whatsapp, Facebook, Other Social Apps",Vibrate,Lithium,90 min,Upto 5 Days,Yes,Magnetic Charging Cable,"Distance Measurement, Sleep Tracking",Yes,Yes,,,,5.2,10 m,"Pick-up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic",,240*284 pixel,51 mm,Ultra HD,,Yes,Yes,,Yes,Yes,Yes,,,Date and Time,Yes,No,Yes,,English & Hindi,1,,High Quality Mp3 Speaker,High Quality Dual Mic,,Yes,Yes,,,,,,6 Months Warranty from the Date of Purchase,Repair or Replace,Any Kind of Manufacturing Defects,"Physical Damage, Loss of Smartwatch or Any Accessories",6 Months,Black,,"Smartphone, Tablet, Laptop",60 hr,240 hr,,,,,,,,,,,,,,,,,,,,,
Fire-Boltt Spacewatch 36.3mm (1.43 inch) AMOLED Display...,"₹2,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/g/s/-original-imah2z5hjhmgxrrn.jpeg?q=70,https://www.flipkart.com/fire-boltt-spacewatch-36-3mm-1-43-inch-amoled-display-luxury-stainless-steel-bt-calling-smartwatch/p/itm51052b3707e13?pid=SMWGXE98BHRHGMD5&lid=LSTSMWGXE98BHRHGMD58ZEJZS&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_12_445&otracker=search&fm=organic&iid=be1383ee-20eb-4352-b393-4564ce1b5d7e.SMWGXE98BHRHGMD5.SEARCH&ppt=None&ppn=None&ssid=miam6ks00w0000001738524932409&qH=87968ec020b2016b,2025-02-02 20:35:32,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW180,"Spacewatch 36.3mm (1.43 inch) AMOLED Display, Luxury Stainless Steel, BT Calling",Round,Black,Stainless steel,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Stainless Steel,Men & Women,Android & iOS,Black,Metal Clasp,"Accelerometer, Heart Rate Monitor (HRM), Microphone/Speaker, Pulse Oximeter, Capacitive Touchscreen","Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",Vibrate,Lithium Ion,180 min,Upto 5 days based upon usage,Yes,USB Cable,,Yes,Yes,No,No,No,v5.0 + v3.0,10 m,"Reject Calls, Take Calls",,466 x 466 Pixel,36.322 mm,AMOLED,,No,Yes,1.43 inch AMOLED resolution: 466*466,Yes,Yes,Yes,No,"SPO2, Heart Rate Tracking, Sports Data Analysis, Sleep Tracking, Step Count, Calorie Count, Distance Measurement, Multiple Sports Mode",,No,No,Yes,No,English Arabic Bulgarian Czech Danish German Spanish Finnish French Hindi Croatian Indonesian Italian Japanese Korean Norwegian Dutch Polish Pashto Portuguese Russian Swedish Thai Ukrainian Vietnamese,2,,Yes,Yes,,,,,54.4 mm,13.6 mm,13.6 mm,600 g,Covers Manufacturing Defects,Customer Support,Manufacturing Defects,Physical & Water Damage,1 Year,,,All Android & iOs compatible devices,,,,,,No,,,,,,,,,,,,36.322 mm,,,,,
"GameSir T55 Pink 1.69"" AMOLED Display, Music, Fitness, ...",₹521,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/t/g/h/40-i8-pro-max-69-smart-watch-android-ios-melbon-yes-original-imah2sn5hrwt55x4.jpeg?q=70,https://www.flipkart.com/gamesir-t55-pink-1-69-amoled-display-music-fitness-sports-smartwatch/p/itme06be800ec699?pid=SMWH2KQFDVGVVUEP&lid=LSTSMWH2KQFDVGVVUEPMODJHJ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_12_449&otracker=search&fm=organic&iid=be1383ee-20eb-4352-b393-4564ce1b5d7e.SMWH2KQFDVGVVUEP.SEARCH&ppt=None&ppn=None&ssid=miam6ks00w0000001738524932409&qH=87968ec020b2016b,2025-02-02 20:35:32,1 smartwatch,T55 ML11 Pink,"T55 Pink 1.69"" AMOLED Display, Music, Fitness, Sports",Rectangle,Pink,Silicone,Free Size,Yes,No,0.5 m,Fitness & Outdoor,TFT IPS LCD,Women,Android & iOS,Pink,Yes,Fitness Health sports G-Sensor,"Call, SMS, Health and fitness, SOS, Alert, App notifications",Vibrate and ringing,Lithium Polymer,100 min,3 Days after proper use,Yes,magnetic,"Running watch: Tailored for runners with features 
Sport watch: Designed for sports activities with durability and specialized tracking.
Music watch: Enables music playback directly from the watch.
Game watch: Features built-in games or gaming apps for entertainment.
Calculator watch: Includes a built-in calculator function for basic calculations.
Calendar watch: Displays calendar information and event reminders.
Luxury watch: A premium timepiece crafted with high-quality materials and superior design.
Fashion watch: Combines style with functionality for a trendy look.
Best watch: Recognized for its outstanding performance and user satisfaction.
Calling watch: Allows making and receiving calls directly from the wrist.
Calling smart watch: Smartwatch with calling capabilities for seamless communication.
Watch: Portable timepiece displaying time and sometimes additional features.
BT calling watch: Enables calls via Bluetooth connection with a smartphone.
BT watch: Timepiece with Bluetooth connectivity for wireless interaction.
BT calling smart watch: Smartwatch with Bluetooth calling functionality for hands-free communication.",Yes,Yes,No,No,Yes,5.30,25 m,"Take call, make calls, mute calls, reject calls, SOS calls, Speed dial calls",fit pro,100X200 pixel,40 mm,AMOLED,Remote camera,Yes,Yes,"Sunlight Proof display, 2 Inch Large Display, All words & apps clearly view no small app no small word, Amoled display",Yes,Yes,Yes,No,"Heart rate, Blood pressure, Blood oxygen, Time display, Step counting,Calories Distance, with game",Yes,No,Yes,Yes,No,Multi-language,2,"Heart rate, Blood pressure, Blood oxygen, Time display, Step counting,Calories Distance,, BT call?Play music?Messages reminder?Pedometer?Distance?Calories?Sleep monitoring?Heart rate?Calendar?Raise-to-wake?Intelligent
voice?Call records?SMS?Alarm?Remote camera?Dial?Phone book?Calculator?Clock?Ringtone settings,body temperature monitor
Waterproof: IP67 Waterproof",Yes,Yes,Music control,"Make Calls, Answer Calls, Mute Rejects Calls, Missed calls show, Contacts",Yes,Music controlCamera controlApp control,,,,100 g,3 month warranty,Carry on - ircinnovations@gmail.com,Manufacturing Defects,Physical Damage,3 Months,Peach,10 m,,5 hr,50 hr,Android and ios,1 GB,2 GB,No,App and bluetooth,yes,Mp3,100 dB,0 Months,,,Standard,,,,,,,,,
"Pebble Axis 1.96"" Amoled Display, Quick Notification, A...","₹1,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/y/n/49-784-pfb403-android-ios-pebble-yes-original-imah6dh84wa9dgan.jpeg?q=70,https://www.flipkart.com/pebble-axis-1-96-amoled-display-quick-notification-aod-bt-calling-rotating-crown-smartwatch/p/itm4b1d120af7f77?pid=SMWH2J7ERGEPRUZZ&lid=LSTSMWH2J7ERGEPRUZZTTIEGP&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_12_453&otracker=search&fm=organic&iid=be1383ee-20eb-4352-b393-4564ce1b5d7e.SMWH2J7ERGEPRUZZ.SEARCH&ppt=None&ppn=None&ssid=miam6ks00w0000001738524932409&qH=87968ec020b2016b,2025-02-02 20:35:32,"1N Smartwatch, 1N USB Cable, 1N User Manual, 1N Warranty Card",PFB403,"Axis 1.96"" Amoled Display, Quick Notification, AOD, BT Calling, Rotating Crown",Rectangle,Black,Silicone,Free Size,Yes,Yes,10 m,Fitness & Outdoor,Metal Alloy,Men & Women,Android & iOS,JET BLACK,Hook Buckle,G-Sensor,,,Lithium Polymer,,"Up to 5 Days without BT Calling & AOD off, Up to 1 day with BT Calling & AOD On",Yes,,,Yes,Yes,,,,,,,,240x280 pixel,49.784 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,
Veritas Enterprises T800 Ultra Connect with Bluetooth C...,₹669,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-smartwatch/p/h/0/1-99-android-ios-newt800-ultra-4g-smart-watch-wifi-gps-4g-original-imagvz6tywftkz6g.jpeg?q=70,https://www.flipkart.com/veritas-enterprises-t800-ultra-connect-bluetooth-calling-voice-assistant-smartwatch/p/itma9069078f9785?pid=SMWGXKFJ8HQ52K9M&lid=LSTSMWGXKFJ8HQ52K9M53S2TO&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_12_457&otracker=search&fm=organic&iid=en_gMS0NzqMRniSd1riNeRwXJIDKp-Mh8dYETgPh_ju99bOHN4FnTNARiHknbAiCoFdgNYzi060gFMwhdUtcGBM1g%3D%3D&ppt=None&ppn=None&ssid=miam6ks00w0000001738524932409&qH=87968ec020b2016b,2025-02-02 20:35:32,"Smart watch, Wireless Charger, User Manual, Smart watch Strap",T800 watch,"T800 Ultra Connect with Bluetooth Calling, Voice Assistant",Square,Orange,Silicone,Free Size,Yes,Yes,,Watchphone,Aluminium,Men & Women,Android & iOS,Orange,,"Accelerometer, Gyroscope, Proximity Sensor","Calendar Reminder, Missed Call Notification","Ringer, Vibration",Lithium Ion,60 min,3 Days,Yes,Wireless,,Yes,Yes,,,Yes,,,"Mute Calls, Reject Calls, Take Calls, Speed Dial",,320 x 320 pixel,49 44,AMOLED,,Yes,Yes,"Additional Features are Blood oxygen and Blood Pressure Monitor, Multisports modes, Sedentary Reminder, Find Phone, Bluetooth, and many more. This smartwatch has a 400 mAh battery capacity with 2-3 days of normal usage and 7 days of standby time.",Yes,Yes,Yes,Yes,,Date & Time,Yes,Yes,Yes,,,3,,Yes,Yes,,,,,,,,,,,,,,,,,72 hr,72 hr,,,,Yes,,,,,,,,,,,,,,,,,
Moktu T800 / S8 / T900/ T10 ULTRA SMART WATCH 4G T-25 S...,₹628,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/d/4/49-new-t800-smartwatch-android-ios-congi-yes-original-imagxh8eantbcagd.jpeg?q=70,https://www.flipkart.com/moktu-t800-s8-t900-t10-ultra-smart-watch-4g-t-25-smartwatch/p/itmb5667e851070d?pid=SMWH3GWETEKNAQYU&lid=LSTSMWH3GWETEKNAQYU7IYDDM&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_12_461&otracker=search&fm=organic&iid=en_gMS0NzqMRniSd1riNeRwXJIDKp-Mh8dYETgPh_ju99aXv_kkHUw4HZPMmGl5DyNiGX3_FNjeovK9UnRZm_iahA%3D%3D&ppt=None&ppn=None&ssid=miam6ks00w0000001738524932409&qH=87968ec020b2016b,2025-02-02 20:35:32,"Smart watch, Wireless Charger, User Manual,Smart watch Strap",T800 Ultra smart watch with WiFi GPS 4G,T800 / S8 / T900/ T10 ULTRA SMART WATCH 4G T-25,Square,Orange,Silicone,Free Size,Yes,Yes,,Watchphone,Aluminium,Men & Women,Android & iOS,Orange,,"Accelerometer, Gyroscope, Proximity Sensor","Calendar Reminder, Missed Call Notification","Ringer, Vibration",Lithium Ion,60 min,3 Days,Yes,Wireless,,Yes,Yes,,,Yes,,,"Mute Calls, Reject Calls, Take Calls, Speed Dial",,320 x 320 pixel,49 44,AMOLED,,Yes,Yes,"Additional Features are Blood oxygen and Blood Pressure Monitor, Multisports modes, Sedentary Reminder, Find Phone, Bluetooth, and many more. This smartwatch has a 400 mAh battery capacity with 2-3 days of normal usage and 7 days of standby time.",Yes,Yes,Yes,Yes,,Date & Time,,Yes,Yes,Yes,,3,,Yes,Yes,,,,,,,,,,,,,,,,,72 hr,72 hr,,,,Yes,,,,,,,,,,,,,,,,,
