title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Ideal For,Compatible OS,Brand Strap Color,Sensor,Compatible Device,Notification,Notification Type,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Stand By Time,Other Features,Call Function,Bluetooth,Wi-Fi,GPS,Messaging Support,Email Support,Operating Range,Call Features,Display Resolution,Display Size,Display Type,Backlight Display,Scratch Resistant,Other Display Features,Calorie Count,Step Count,Heart Rate Monitor,Altimeter,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Chronograph,Language,Other Watch Functions,Speaker,Microphone,Voice Control,Width,Height,Thickness,Weight,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Dial Material,Closure,Gesture Control,Bluetooth Version,Third Party App Support,Other Connectivity Features,Number of Buttons,Diameter,Maximum Operating Altitude,Talk time,Operating System,RAM,Internal Memory,Flash,Other Camera Features,Audio Features,Supported Audio Format,Speaker Volume,Other Multimedia Features,International Warranty,Video Features,Supported Video Format,HD Recording,HD Playback,Compatible Operating System,Processor Name
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...","₹1,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/6/r/v/-original-imah76camasmbtc9.jpeg?q=70,https://www.flipkart.com/noise-crew-go-1-39-display-bt-calling-metal-strap-7-days-battery-life-smartwatch/p/itm065635b249c0f?pid=SMWGZW3DPFHUDQ5J&lid=LSTSMWGZW3DPFHUDQ5JPQZ2SM&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_113&otracker=search&fm=organic&iid=44a87da8-9240-489f-804d-3c2796ca6905.SMWGZW3DPFHUDQ5J.SEARCH&ppt=None&ppn=None&ssid=ch6ilbnq3k0000001739031518782&qH=87968ec020b2016b,2025-02-08 17:18:49,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-crewgo-meshmtl-blk_blk,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Black,Round,Black,Stainless steel,Regular,Yes,Yes,1 m,Fitness & Outdoor,Men & Women,Android & iOS,Black Link,"Heart Rate, Accelerometer",,Yes,,,,Up to 7 Days,Yes,,,,Yes,Yes,,,,,10 m,,240 x 240 pixel,35.306 mm,TFT,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,Yes,Yes,,,,,,1 Year Warranty from the date of purchase,Contact - help@nexxbase.com | support.gonoise.com | 02268056040,Warranty is applicable on manufacturing defects for all the products for 1 Year and accessories (If any) for 3 months from the date of purchase.,"unauthorized tampering, modification or repairs ; physical damage ; water logging or any other damage due to heat, humidity or moisture doing operations",1 Year,Metal,,,v5.3,,,,,,,,,,,,,,,,,,,,,,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Allo...","₹1,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/h/0/-original-imagz95fv2engvhx.jpeg?q=70,https://www.flipkart.com/boult-crownr-pro-1-43-hd-amoled-bt-calling-zinc-alloy-frame-ip67-spo2-tracking-smartwatch/p/itmf5f0707221ff6?pid=SMWGQ2R434FUUF29&lid=LSTSMWGQ2R434FUUF2973BPQX&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_117&otracker=search&fm=organic&iid=en_Emw6m4myZHhR7sZLlAm2CIqaw55CfK1dvojpdqfQxRaiWyMfkf6BZb46Iwj5F0l9msSecsYCjFNEgpoHEfgWOGaRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=ch6ilbnq3k0000001739031518782&qH=87968ec020b2016b,2025-02-08 17:18:49,"Smartwatch, User Manual, Charging Cable, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Multicolour,Round,Black,Silicone,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Men & Women,Android & iOS,Black,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Polymer,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.43inch 600 Nits High Brightness Display, 120+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie's Count",Yes,Yes,No,No,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",466 x 466 Pixels,36.32 mm,AMOLED,Yes,No,High Brightness,Yes,Yes,Yes,No,120+ Workout modes,Date and Time,No,No,Yes,No,English,"Bluetooth Calling, 1.43inch 600 Nits High Brightness with 466 x 466 display resolution & providing Always on display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice assistance, Weather Details, Find My Phone, Other Functions : Alarm clock, Stopwatch, Timer, DND, Flashlight & more.",1 Speaker,Yes,Yes,47 mm,46 mm,13 mm,56.5 g,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,Zinc Alloy,,Wrist Wake,v5.2,,,2,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:18:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:18:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹1,899",4.3,Data not available,Image not available,URL not available,2025-02-08 17:18:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:18:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:20:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:20:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/e/p/-original-imah8mtwtmmxa47x.jpeg?q=70,https://www.flipkart.com/boult-drift-bluetooth-calling-1-85-hd-500nits-brightness-150-watchfaces-spo2-smartwatch/p/itm9aab07df7f268?pid=SMWGMH4JA69PG4TF&lid=LSTSMWGMH4JA69PG4TF75UAZN&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_121&otracker=search&fm=organic&iid=en_GhRa6hsv4zopQytH5ATwNwCWYKtudWwLDwhZd-mwMEjuoayGKVe9m6pwd7Zt2vKKDkJiK0KAyVoBicHEcdhZWQ%3D%3D&ppt=None&ppn=None&ssid=sgovtmeank0000001739031609491&qH=87968ec020b2016b,2025-02-08 17:20:12,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift +,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Multicolour,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Men & Women,Android & iOS,Jet Black,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Ion,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,600 Hr,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.85inch 500 Nits High Brightness Display, 100+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie count",Yes,Yes,No,No,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",240 x 280 Pixels,1.85 inch,TFT,Yes,No,High Brightness,Yes,Yes,Yes,No,100+ Workout Modes,Date and Time,No,No,Yes,No,"English (Default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese","Bluetooth Calling, 1.85inch 500 Nits High Brightness Display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 100+ Workout Modes, Sleep Tracking, Weather Details, Find My Phone, Multiple Fun Mini Games",1 Speaker,Yes,Yes,37.28 mm,10.75 mm,44.17 mm,42 g,1 Year Warranty from the Date of Purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Com...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/q/r/-original-imah8mtwg2mckp23.jpeg?q=70,https://www.flipkart.com/boult-drift-bt-calling-hd-display-140-watchfaces-complete-health-monitoring-smartwatch/p/itmac37e7f2f1e18?pid=SMWGZSX5XGH2WYMA&lid=LSTSMWGZSX5XGH2WYMAYCSPMX&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_125&otracker=search&fm=organic&iid=f3be0b71-5b60-4659-99f3-37366e8116e4.SMWGZSX5XGH2WYMA.SEARCH&ppt=None&ppn=None&ssid=sgovtmeank0000001739031609491&qH=87968ec020b2016b,2025-02-08 17:20:12,"Smartwatch, Charging Cable, User Manual",Drift,"Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring",Multicolour,Rectangle,Orange,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Women,Android & iOS,Peach,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails",Vibrate,Lithium Polymer,150 Min,Upto 7 Days,Yes,Magnetic Charging Cable,288 Hr,,Yes,Yes,No,No,No,Yes,10 m,"Pick up incoming calls, reject incoming calls, dial",240 x 280 Pixel,1.69 Inch,TFT,Yes,No,,Yes,Yes,Yes,No,60 Workout modes,Date and Time,No,No,Yes,No,"English (default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese","Female Cycle Tracker, Multiple Workout Modes, Sleep Tracking, Weather Details, Find Phone",Yes,Yes,,35.78 mm,44.17 mm,11.6 mm,45 g,Repair or Replace,Repair or Replace,Any kind of technical issue,"Physical damage, loss of smartwatch or any accessories.",1 Year,ABS,,,v5.0,,,1,,,,,,,,,,,,,,,,,,,Goodix 5515-64M
"Boult Dire 1.38'' 2.5D Curved HD Display, 500Nits, 250+...","₹1,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/v/x/s/-original-imah8bnpdmguu8da.jpeg?q=70,https://www.flipkart.com/boult-dire-1-38-2-5d-curved-hd-display-500nits-250-watch-faces-health-track-ip67-smartwatch/p/itm4c991b0aa4a65?pid=SMWH7CSKQWURTKWW&lid=LSTSMWH7CSKQWURTKWWI2B6RC&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_129&otracker=search&fm=organic&iid=f3be0b71-5b60-4659-99f3-37366e8116e4.SMWH7CSKQWURTKWW.SEARCH&ppt=None&ppn=None&ssid=sgovtmeank0000001739031609491&qH=87968ec020b2016b,2025-02-08 17:20:12,"Smartwatch, User Manual, Charging Cable,Warranty Card",Dire,"Dire 1.38'' 2.5D Curved HD Display, 500Nits, 250+ Watch Faces, Health Track,IP67",Multicolour,Round,Silver,Stainless steel,Free Size,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Silver,"Real Heart Rate, SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink reminder, sedentary reminder, Alarm Clock, Low battery reminder",Vibrate,Lithium Polymer,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,240 hr,"Bluetooth Calling, 1.38"" HD Display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 100+ Workout Modes, Sleep Tracking, Weather Details, Find My Phone",Yes,Yes,No,No,No,No,10 m,"Pick up incoming calls, reject incoming calls, dial, Dedicated Speaker and Mic, AI voice assistant",240 x 240 Pixels,35.052 mm,HD,Yes,No,,Yes,Yes,Yes,No,120+ Workout modes,Date and Time,No,No,Yes,No,English,"Bluetooth Calling, 1.38"" HD Display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 100+ Workout Modes, Sleep Tracking, Weather Details, Find My Phone",1 SPEAKER,YES,Yes,37.7 mm,25.3 mm,11.7 mm,37 g,1 Year Warranty from the date of purchase,,Any kind of technical issue,"Physical damage, loss of smartwatch or any accessories.",1 Year,ABS+PC,,Wrist to Screen Wake,5.3,,,1,,,,,,,,,,,,,,,,,,,
"Noise Icon 2 1.8'' Display with Bluetooth Calling, Wome...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/o/z/-original-imah76jstup5zdww.jpeg?q=70,https://www.flipkart.com/noise-icon-2-1-8-display-bluetooth-calling-women-s-edition-ai-voice-assistant-smartwatch/p/itm968c523d99eae?pid=SMWGEH7VNGPYN5NV&lid=LSTSMWGEH7VNGPYN5NVEORYD7&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_133&otracker=search&fm=organic&iid=f3be0b71-5b60-4659-99f3-37366e8116e4.SMWGEH7VNGPYN5NV.SEARCH&ppt=None&ppn=None&ssid=sgovtmeank0000001739031609491&qH=87968ec020b2016b,2025-02-08 17:20:12,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfiticon2-std-gld_pnk,"Icon 2 1.8'' Display with Bluetooth Calling, Women's Edition, AI Voice Assistant",Gold,Rectangle,Pink,Silicone,Regular,Yes,Yes,,Fitness & Outdoor,Women,Android & iOS,Pink,"Heart Rate, SpO2","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",Vibration,,,Upto 7 days,Yes,Magnetic Charger,,,Yes,Yes,,,Yes,Yes,10 m,"Reject Calls, Take Calls, Speed Dial",240 x 286 pixel,1.8 inch,,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,,,,1 Year Manufacturer Warranty,Contact - productfeedback@nexxbase.com | support.gonoise.com | +91 8882132132,Manufacturing Defects,Physical Damage,1 Year,Polycarbonate,Buckle,"Change Music, Answer Calls",,,,,,,,,,,,,,,,,,,,,,,
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...","₹1,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/f/6/-original-imah759hrk24uyjw.jpeg?q=70,https://www.flipkart.com/noise-crew-go-1-39-display-bt-calling-metal-strap-7-days-battery-life-smartwatch/p/itm0e03c14e438f7?pid=SMWGZW3CCRQGAWW7&lid=LSTSMWGZW3CCRQGAWW7EFOBHP&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_137&otracker=search&fm=organic&iid=en_GhRa6hsv4zopQytH5ATwNwCWYKtudWwLDwhZd-mwMEj6GfbDR2Iukr4LfnG9z0WGshvC7ixeYb7JbEhsU0zmTQ%3D%3D&ppt=None&ppn=None&ssid=sgovtmeank0000001739031609491&qH=87968ec020b2016b,2025-02-08 17:20:12,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-crewgo-meshmtl-gld_gld,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Gold,Round,Gold,Stainless steel,Regular,Yes,Yes,1 m,Fitness & Outdoor,Women,Android & iOS,Gold Link,"Heart Rate, Accelerometer",,Yes,,,,Up to 7 Days,Yes,,,,Yes,Yes,,,,,10 m,,240 x 240 pixel,35.306 mm,TFT,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,Yes,Yes,,,,,,1 Year Warranty from the date of purchase,Contact - help@nexxbase.com | support.gonoise.com | 02268056040,Warranty is applicable on manufacturing defects for all the products for 1 Year and accessories (If any) for 3 months from the date of purchase.,"unauthorized tampering, modification or repairs ; physical damage ; water logging or any other damage due to heat, humidity or moisture doing operations",1 Year,Metal,,,v5.3,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/b/z/c/-original-imah8mtxng4azdhe.jpeg?q=70,https://www.flipkart.com/boult-drift-bluetooth-calling-1-85-hd-500nits-brightness-150-watchfaces-spo2-smartwatch/p/itm299eb0c3ef1a6?pid=SMWGMH4J3PWYQTRH&lid=LSTSMWGMH4J3PWYQTRHXA01MF&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_141&otracker=search&fm=organic&iid=en_GhRa6hsv4zopQytH5ATwNwCWYKtudWwLDwhZd-mwMEh9qX71C5l_itEsuCkaBUJun6A_6BL6mvJZW1hFFVTt3g%3D%3D&ppt=None&ppn=None&ssid=sgovtmeank0000001739031609491&qH=87968ec020b2016b,2025-02-08 17:20:12,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift +,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Multicolour,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Men & Women,Android & iOS,Black Coffee,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Ion,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,600 Hr,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.85inch 500 Nits High Brightness Display, 100+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie count",Yes,Yes,No,No,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",240 x 280 Pixels,1.85 inch,TFT,Yes,No,High Brightness,Yes,Yes,Yes,No,100+ Workout Modes,Date and Time,No,No,Yes,No,"English (Default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese","Bluetooth Calling, 1.85inch 500 Nits High Brightness Display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 100+ Workout Modes, Sleep Tracking, Weather Details, Find My Phone, Multiple Fun Mini Games",1 Speaker,Yes,Yes,37.28 mm,10.75 mm,44.17 mm,42 g,1 Year Warranty from the Date of Purchase,Contact : Ph : Ph ; +919555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire-Boltt Ninja Talk 35.3mm (1.39) Round Bluetooth Cal...,"₹1,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/l/g/e/-original-imagsby262pkafng.jpeg?q=70,https://www.flipkart.com/fire-boltt-ninja-talk-35-3mm-1-39-round-bluetooth-calling-metal-body-120-sports-modes-smartwatch/p/itm1f3f443eb9b60?pid=SMWGRRVAZBRXHBJD&lid=LSTSMWGRRVAZBRXHBJDS2RV2W&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_145&otracker=search&fm=organic&iid=f3be0b71-5b60-4659-99f3-37366e8116e4.SMWGRRVAZBRXHBJD.SEARCH&ppt=None&ppn=None&ssid=sgovtmeank0000001739031609491&qH=87968ec020b2016b,2025-02-08 17:20:12,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW136,"Ninja Talk 35.3mm (1.39) Round Bluetooth Calling Metal Body,120 Sports Modes",Black,Round,Grey,Silicone,1.39,Yes,Yes,1 m,"Fitness & Outdoor, Health & Medical, Watchphone",Men & Women,Android & iOS,Dark Grey SS,Heart Rate,"Mobile Phones, Smart Phones","Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",Ring (Only in Bluetooth Calling Mode) and Vibration,Lithium Ion,120 Min,Upto 5 days,Yes,Magnetic Charging,360 Hr,"1. Fire-Boltt Ninja Talk Bluetooth Calling Smartwatch with Metal Body & AI Voice Assistant2. Round Bigger Display : 1.39"" Round Display featuring 240*240 pixel high resolution3.Supports Bluetooth Calling : Recieve and dial calls from Fire-Boltt Ninja Talk4.AI Voice Assistant - The watch supports waking your mobile phone's AI Voice to ensure you get your work on time5. 360 Health Control : Monitor your Blood Oxygen Levels and heart rate (dynamic & continuous) on this watch6. Multiple Sports Modes - Track 120+ sports modes efficiently and with 7.Metal Body - This watch features a metal body for longer and lasting durability with anti-corrossion properties8.Built in Mic and Speaker for HD, person to person calling experience9.Contact Sync : Sync favourite contacts on your watch via your the app10.Call Logs : Check missed calls and answered calls on the watch11.Sedentary Reminders : Time to work out, change the unhealthy mode of life12.Other Functions : Alarm clock, Stopwatch, Timer, Low Power Mode, DND, Flashlight & more.",Yes,Yes,No,No,No,No,10 m,"Make Calls, Answer Calls, Reject Calls, Speed Dial, Contact Sync",240 x 240 Pixels,1.39 inch,TFT,No,Yes,"1.39"" Round Display with High Resolution of 240 x 240 Pixels",Yes,Yes,Yes,No,"SPO2, Heart Rate Tracking, Sports Data Analysis, Sleep Tracking, Step Count, Calorie Count, Distance Measurement, Multiple Sports Mode",Date & Time,No,No,Yes,Yes,English,"1. Fire-Boltt Ninja Talk Bluetooth Calling Smartwatch with Metal Body & AI Voice Assistant2. Round Bigger Display : 1.39"" Round Display featuring 240*240 pixel high resolution3.Supports Bluetooth Calling : Recieve and dial calls from Fire-Boltt Ninja Talk4.AI Voice Assistant - The watch supports waking your mobile phone's AI Voice to ensure you get your work on time5. 360 Health Control : Monitor your Blood Oxygen Levels and heart rate (dynamic & continuous) on this watch6. Multiple Sports Modes - Track 120+ sports modes efficiently and with 7.Metal Body - This watch features a metal body for longer and lasting durability with anti-corrossion properties8.Built in Mic and Speaker for HD, person to person calling experience9.Contact Sync : Sync favourite contacts on your watch via your the app10.Call Logs : Check missed calls and answered calls on the watch11.Sedentary Reminders : Time to work out, change the unhealthy mode of life12.Other Functions : Alarm clock, Stopwatch, Timer, Low Power Mode, DND, Flashlight & more.",Yes,Yes,Yes,39 mm,9.8 mm,9.8 mm,36.8 g,Covers Manufacturing Defects,Customer Support,Manufacturing Defects,Physical & Water Damage,1 Year,Zinc alloy,Buckle,,v5.0,Limited Support,Android 5.0 or IOS 9.0 Supporting Bluetooth 5.0 Mobile Phones with System Version and Above,1,35.3 mm,,,,,,,Remote Camera Control,Playing music through the watch via the inbuilt speaker,,,,,,,,,,
"boAt Storm Call w/ 4.29 cm(1.69""), BT Calling & 550 Nit...","₹1,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/7/k/-original-imah8762kq9hyhhb.jpeg?q=70,https://www.flipkart.com/boat-storm-call-w-4-29-cm-1-69-bt-calling-550-nits-brightness-smartwatch/p/itmf0420995c81ed?pid=SMWH6WJW7SUU8SAD&lid=LSTSMWH6WJW7SUU8SAD2GDGFR&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_149&otracker=search&fm=organic&iid=f3be0b71-5b60-4659-99f3-37366e8116e4.SMWH6WJW7SUU8SAD.SEARCH&ppt=None&ppn=None&ssid=sgovtmeank0000001739031609491&qH=87968ec020b2016b,2025-02-08 17:20:12,Storm Call||Magnetic Charging Cable||User Manual||Warranty Card,Storm Call,"Storm Call w/ 4.29 cm(1.69""), BT Calling & 550 Nits Brightness",,Rectangle,Green,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Forest Green,"HR, SpO2 & G-sensor",,,,,,Upto 7 days,,,,,Yes,Yes,,,,,,,240 x 280 Pixel,42 mm,,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,Yes,Yes,,,,,,1 year warranty against manufacturing defects,Reach out to us at info@imaginemarketingindia.com,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Storm Call 3 Plus w/ Turn by Turn Navigation, QR T...","₹1,449",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/q/c/-original-imah4d2zajcgrpgz.jpeg?q=70,https://www.flipkart.com/boat-storm-call-3-plus-w-turn-navigation-qr-tray-4-97cm-1-96-hd-display-smartwatch/p/itm5101a178ef4c7?pid=SMWH3Z2TPGDXTNMQ&lid=LSTSMWH3Z2TPGDXTNMQCGIQT8&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_153&otracker=search&fm=organic&iid=f3be0b71-5b60-4659-99f3-37366e8116e4.SMWH3Z2TPGDXTNMQ.SEARCH&ppt=None&ppn=None&ssid=sgovtmeank0000001739031609491&qH=87968ec020b2016b,2025-02-08 17:20:12,"1 x Smartwatch, 1 x Charging Cable, 1 x User Manual",Storm Call 3 Plus,"Storm Call 3 Plus w/ Turn by Turn Navigation, QR Tray, 4.97cm(1.96'') HD Display",,Rectangle,Blue,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Dark Blue,"Heart Rate, SpO2, G Sensor",,,,,,Upto 7 days,,,,,Yes,Yes,,,,,,,240 x 284 Pixels,49.7 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
