Category,Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
Graphics Cards,HP AMD Radeon R9 255 2GB GDDR5 Graphics Video Card GPU - 767485-001 767071-001,GBP 48.00,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:46:42
Graphics Cards,Dell Precision  7560 NVIDIA T1200 4GB VRAM Graphics Card w/ Interposers & Cable,$89.00,Dell,4 GB,VRAM,NVIDIA Quadro,N/A,2025-01-28 17:46:29
Graphics Cards,HP EliteDesk SFF 705 800 880 (G1 G2 G3 G4) Video Graphics Card + HDMI Adapters,US $32.39,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:45:35
Graphics Cards,ASUS 0dB Cooling 2GB GDDR5 NVIDIA GeForce GT 730 Graphics Card GPU,$49.95,ASUS,2 GB,GDDR5,NVIDIA GeForce GT 730,N/A,2025-01-28 17:46:31
Graphics Cards,EVGA GeForce GTX 780 Ti Classified 3GB GDDR5 PCI Express NON WORKING Graphic Car,$49.99,EVGA,Read,Read,780ti,"DisplayPort; HDMI;, Read",2025-01-28 17:44:25
Graphics Cards,Dell GTX 1050 Nvidia GeForce GTX1050 2GB GDDR5 Graphics Card HDMI DVI-D DP,$72.88,Dell,4 GB,GDDR5,NVIDIA GeForce GTX 1050,Mini DisplayPort,2025-01-28 17:46:02
Graphics Cards,ASUS Phoenix GeForce RTX 3060 12GB GDDR6 Graphics Card PH-RTX3060-12G-V2,C $469.99,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:45:47
Graphics Cards,AMD Radeon Ghost Graphics Card XFX HD R7800 2GB GDDR5,$39.00,XFX,2 GB,GDDR5,AMD Radeon HD 7870,"HDMI, Mini DisplayPort, VGA",2025-01-28 17:44:58
Graphics Cards,NVIDIA Founders Edition GeForce RTX 4090 24GB GDDR6X - Graphics Card - Excellent,"$2,399.99",NVIDIA,24 GB,GDDR6X,NVIDIA GeForce RTX 4090,"DisplayPort, HDMI",2025-01-28 17:44:45
Graphics Cards,msi p104 8g Graphics Card,$79.20,MSI,8 GB,N/A,msi p104,N/A,2025-01-28 17:45:10
Graphics Cards,AMD Radeon HD 8760 2GB GDDR5 Graphics Card Fully Working Great Condition,$13.43,AMD,2 GB,GDDR5,Radeon HD 8760,"DVI, HDMI",2025-01-28 17:45:07
Graphics Cards,"GIGABYTE GV-N730D3-2GI Graphics Card, 2GB 64-bit GDDR3, GV-N730D3-2GI",$47.99,GIGABYTE,2 GB,DDR3,NVIDIA GeForce GT 730,N/A,2025-01-28 17:46:01
Graphics Cards,NVIDIA Quadro RTX 4000 8GB GDDR6 Turing Workstation Graphics Card N6V6F,$234.99,NVIDIA,8GB,GDDR6,NVIDIA Quadro RTX 4000,3x Display Port 1x USB Type C,2025-01-28 17:46:14
Graphics Cards,NVIDIA dual 8 to 8 Graphics Card Power Cable Tesla K80 M40 Grid M60 P40 P100 GPU,$7.84,Graphics,24 GB,GDDR5,NVIDIA Tesla K80,Component,2025-01-28 17:45:22
Graphics Cards,Dell 24K8H Nvidia GeForce GTX1050 2GB GDDR5 Graphics Card HDMI DVI-D DP,$49.97,Dell,2 GB,GDDR5,GeForce GTX1050,"DisplayPort, DVI, HDMI",2025-01-28 17:43:30
Graphics Cards,MATROX M9148 1GB PCIE QUAD (4 PORTS) GRAPHICS CARD M9148-E1024LAF HP DRBB-2,$15.99,Matrox,1 GB,DDR2,Matrox M9148,Mini DisplayPort,2025-01-28 17:45:30
Graphics Cards,Vintage Prolink MVGA-AVGA4VL1 CL-5428 VESA VLB VGA Video Graphics Card — TESTED!,$39.97,PROLINK Microsystems Corp.,1MB (expandable to 2MB),N/A,CL-GD5428,VGA,2025-01-28 17:46:00
Graphics Cards,GIGABYTE  GTX 1080 Ti 11GB Graphics White Video Cards GV-N108TGAMING OC-11GD,$112.50,GIGABYTE,11GB,GDDR5X,NVIDIA GeForce GTX 1080 Ti,"DVI-I, DisplayPort, DVI, DVI-D, HDMI",2025-01-28 17:43:54
Graphics Cards,"MSI GeForce GTX 750 Ti 2GB 2GD5TLP Low Profile Dual Fan | 1yr Warranty, Fast ...",$59.98/ea,MSI,2 GB,GDDR5,Nvidia GeForce GTX 750 Ti,"DisplayPort, DVI, HDMI",2025-01-28 17:45:25
Graphics Cards,DELL PEGATRON HD6450 1GB GDDR3 HCVMH HDMI DVI VGA GRAPHICS CARD PCI-E,$19.90,Dell,1 GB,GDDR3,N4-1,"DVI, HDMI, VGA",2025-01-28 17:43:38
