title,price,rating,reviews,image_url,product_url,collection_date,Model Name,Color,Display,Panel Type,Screen Resolution Type,Sales Package,Screen Form Factor,Number of Colors,Maximum Refresh Rate,Aspect Ratio,Horizontal Viewing Angle,Vertical Viewing Angle,Response Time,Brightness,Color Gamut,Power Requirement,HDMI,Display Port,HDCP Support,System Requirements,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Backlight,Resolution,HD Standard,Contrast Ratio,Pixel Pitch,Speakers,Headphone Jack,Microphone Jack,Inbuilt Speaker,Power Consumption,VGA,Other Mounting Features,Plug and Play,Other Features,Width With Stand,Height With Stand,Depth With Stand,Width Without Stand,Height Without Stand,Depth Without Stand,Series,3D,Processor,Display Screen Coating,Maximum 3D Refresh Rate,Horizontal Scanning Frequencies,Other Display Features,Touchscreen Support,Touch Response Time,Touch Accuracy,Touch Capabilities,Other Touchscreen Features,Number of Speakers,Other Audio Features,Power Output Per Speaker,DVI,USB,Audio Out,Audio In,Operating Temperature,Non Operating Temperature,Storage Temperature,Operating Humidity Range,Other Operating Requirements,Stand,Stand Tilt,Stand Swivel,Wall Mounting,Wall Mount Standard,Security Lock Slot,Inbuilt Webcam,Controls,OSD Languages Supported,Weight With Stand,Weight Without Stand,Other Power Features,Other Connectivity Features,Audio Jacks,Part Number
"Lenovo L-Series 68.58 cm (27 Inch) Full HD IPS Panel with Rotating Screen, USB-C Port, USB Hub, 2X3W I...","₹16,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/f/f/c/-original-imagxq4wdchhv85b.jpeg?q=70,https://www.flipkart.com/lenovo-l-series-68-58-cm-27-inch-full-hd-ips-panel-rotating-screen-usb-c-port-usb-hub-2x3w-in-built-speakers-tuv-eyesafe-vision-health-board-certified-monitor-l27m-30/p/itm9658856130582?pid=MONGFZ9RAQDEQKEA&lid=LSTMONGFZ9RAQDEQKEAA2DMUN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_10_240&otracker=search&otracker1=search&fm=organic&iid=616fe2cc-2ecd-4c69-90e4-4e5b719d7b5c.MONGFZ9RAQDEQKEA.SEARCH&ppt=None&ppn=None&ssid=6ea97b9um80000001738368320945&qH=08b5411f848a2581,2025-02-01 01:05:21,L27m-30,Raven Black,68.58 cm (27 Inch) LCD Display,IPS Panel,Full HD,"1 Monitor, Stand, Power Cable, USB Type-C to Type-C Cable, Quick Setup Guide",Flat,16.7 m Colors,"75 Hz (Analog), 75 Hz (Digital)",16:09,178° (2D),178° (2D),4 ms,250 nits (2D),72%,,,,,,3 Years Manufacturer Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,,,1920 x 1080 pixels,,,,Yes,Yes,,Yes,,,,,,,,,,,,L-Series,,,,,,Contrast Ratio 1000:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:05:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:05:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,4.4,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/monitor/p/x/3/-original-imagxq4whfhagd7c.jpeg?q=90,URL not available,2025-02-01 01:05:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:05:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:07:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG 60.96 cm (24 inch) Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat ...","₹7,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/q/6/9/-original-imah8pwhvz2tzucv.jpeg?q=70,https://www.flipkart.com/samsung-60-96-cm-24-inch-full-hd-ips-panel-flicker-free-hdmi-display-port-bezel-less-design-flat-monitor-ls24c330gawxxl/p/itm242e33dfe21e9?pid=MONGYYQGKSZJTEBP&lid=LSTMONGYYQGKSZJTEBPM0MVH1&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_241&otracker=search&otracker1=search&fm=organic&iid=en_wKwK--jWlU2Wez_Fw64krhWZBlBMJJWkpgrmo0VbDpJSbHH6GpWHql_UwTod5HXr8kzA3ptjAdN2jJ3eHMy0Y_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=qo1ssw32q80000001738368421701&qH=08b5411f848a2581,2025-02-01 01:07:04,LS24C330GAWXXL,Black,60.96 cm (24 inch) LED Display,IPS Panel,Full HD,"1 Monitor, Accessory included, Power Cable (1.5M), HDMI Cable, User Manual",Flat,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,178° (2D),178° (2D),4 ms,250 nits (2D),72%,AC 100 - 240 V,Yes,Yes,Yes,Windows 10,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elista 54.61 cm (21.5 inch) Full HD LED Backlit IPS Panel Monitor (ELS-V2210 HD LED Bezel less),"₹5,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/m/r/els-v2210-hd-led-bezel-less-full-hd-21-5-2023-els-v2210-hd-led-original-imah4fgzhkhv3x2e.jpeg?q=70,https://www.flipkart.com/elista-54-61-cm-21-5-inch-full-hd-led-backlit-ips-panel-monitor-els-v2210-bezel-less/p/itm6202c978219d6?pid=MONGSJWYP2QHCFYD&lid=LSTMONGSJWYP2QHCFYDU3JPSN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_242&otracker=search&otracker1=search&fm=organic&iid=en_wKwK--jWlU2Wez_Fw64krhWZBlBMJJWkpgrmo0VbDpLwORhbJs7CkDIvU4YFVLY9UVV75mDd4FEg6EJ9CLhsnw%3D%3D&ppt=None&ppn=None&ssid=qo1ssw32q80000001738368421701&qH=08b5411f848a2581,2025-02-01 01:07:04,ELS-V2210 HD LED Bezel less,Black,54.61 cm (21.5 inch) LED Display,IPS Panel,Full HD,"Monitor-01 No, Base- 01 No, HDMI Cable- 01 No, Power Cord-01 No, User Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,178° (2D),178° (2D),4 ms,250 nits (2D),,,"Yes, 1",,,,1 Year Carry in to brand service center.,Products are warranted against defects in materials and craftsmanship for a period of one year from the date of original retail purchase,"The warranty does not include damage resulting from accidents, improper use, maintenance, repair, or from other causes that are not defects in materials or craftsmanship, Burnt or defects arising due to use of CFL",1 Year,LED Backlit Backlight,1920 x 1080 pixels,1920 x 1080,500000:1 (Dynamic),0.248 mm,No,No,No,No,"22 W (Operational), 0.5 W (Standby)",Yes,Can be Wall mounted (Mounting Kit not provided as standard packaging),Yes,"Frameless | IPS Display, | HD Resolution 1920 x 1080, | No Splash, | Flicker Free",540 mm,520 mm,30 mm,540 mm,340 mm,30 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rionix ENTER 48.26 cm (19 inch) HD LED Backlit TN Panel Monitor (ENTER 19 inch HDMI),"₹2,850",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/4/0/e/enter-19-inch-hdmi-hd-19-2023-e-mo-a01-rionix-original-imagr2g6bty99prd.jpeg?q=70,https://www.flipkart.com/rionix-enter-48-26-cm-19-inch-hd-led-backlit-tn-panel-monitor-enter-19-inch-hdmi/p/itm34e2f32a3a3f2?pid=MONGR2GWTTTARWJK&lid=LSTMONGR2GWTTTARWJKYSHKYG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_243&otracker=search&otracker1=search&fm=organic&iid=3c5ce296-80ce-481c-9a2d-d90c516abc1c.MONGR2GWTTTARWJK.SEARCH&ppt=None&ppn=None&ssid=qo1ssw32q80000001738368421701&qH=08b5411f848a2581,2025-02-01 01:07:04,ENTER 19 inch HDMI,Black,48.26 cm (19 inch) LED Display,TN Panel,HD,"LED, STAND, HDMI CABLE",Flat,,"60 Hz (Analog), 60 Hz (Digital)",,,,5 ms,,,,"Yes, 1",Yes,,,1 Year brand warranty,warranty is not covered on damaged and burned case,DAMAGED BROKEN,1 Year,LED Backlit Backlight,,,,,,,,,,"Yes, yes",,,,,,,,,,ENTER,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
"LG 68.58 cm (27 inch) Full HD IPS Panel with Vga, Hdmi, Display Port Monitor (27MP60G-BB.ATRZJSN)","₹11,300",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/1/b/j/27mp60g-full-hd-27-2021-27mp60g-lg-original-imagtkc9m3jhyxwd.jpeg?q=70,https://www.flipkart.com/lg-68-58-cm-27-inch-full-hd-ips-panel-vga-hdmi-display-port-monitor-27mp60g-bb-atrzjsn/p/itmb8cdedc1f4594?pid=MONGTJFYXYUGCY3H&lid=LSTMONGTJFYXYUGCY3HP6JSYH&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_244&otracker=search&otracker1=search&fm=organic&iid=3c5ce296-80ce-481c-9a2d-d90c516abc1c.MONGTJFYXYUGCY3H.SEARCH&ppt=None&ppn=None&ssid=qo1ssw32q80000001738368421701&qH=08b5411f848a2581,2025-02-01 01:07:04,27MP60G-BB.ATRZJSN,Black Red,68.58 cm (27 inch) LED Display,IPS Panel,Full HD,"1 Monitor, DC Extension Cable, HDMI Cable, Table Mount Stand, User Manual",Flat,,"75 Hz (Analog), 75 Hz (Digital)",16:09,,,5 ms,250 nits (2D),,"AC 100 - 240 V, 50/60 Hz",,,,,3 Years Warranty,Manufacturing Defects,Physical and Water Damages,3 Year,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELL 60.96 cm (24 inch) HD Monitor (E2422HS - Full HD (1920 x 1080) LED Backlit Monitor - IPS Panel - ...,"₹13,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/kwzap3k0/monitor/a/w/h/e2422hs-full-hd-1920-x-1080-led-backlit-monitor-va-panel-vga-original-imag9jg76nktbhre.jpeg?q=70,https://www.flipkart.com/dell-60-96-cm-24-inch-hd-monitor-e2422hs-full-1920-x-1080-led-backlit-ips-panel-vga-hdmi-display-port-inbuilt-speakers-height-adjustable-3-years-warranty-black-response-time-10-ms/p/itme6f2d24c42c88?pid=MONG9JG7ZMHWZZGB&lid=LSTMONG9JG7ZMHWZZGB9RDGL7&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_245&otracker=search&otracker1=search&fm=organic&iid=3c5ce296-80ce-481c-9a2d-d90c516abc1c.MONG9JG7ZMHWZZGB.SEARCH&ppt=None&ppn=None&ssid=qo1ssw32q80000001738368421701&qH=08b5411f848a2581,2025-02-01 01:07:04,"E2422HS - Full HD (1920 x 1080) LED Backlit Monitor - IPS Panel - VGA, HDMI & DISPLAY PORT, Inbuilt Speakers, Height Adjustable, 3 Years Warranty ( Black)) (Response Time: 10 ms)","Black, Silver",60.96 cm (24 inch) LED-backlit LCD monitor / TFT active matrix Display,,HD,"1 Monitor product With Accesias, Warrenty Card",Flat,,"60 Hz (Analog), 60 Hz (Digital)",,,,5 ms,,,,,,,,3 years Advanced Exchange Service and Limited Hardware Warranty,3 years Advanced Exchange Service and Limited Hardware Warranty,"Warranty Does Not Cover: Software, Including without Limitation, the Operating System and Software added to the Dell-branded Hardware Products Through Our Factory-integration System, Third-party Software or the Reloading of Software. Non Dell-branded Products and Accessories. Problems that Result, Directly or Indirectly, From: External Causes Such as Accident, Abuse, Misuse or Problems with Electrical Power. Servicing not Authorized by Dell. Usage that is not in Accordance with Product Instructions. Failure to Follow the Product Instructions or Failure to Perform Preventive Maintenance. Using Accessories, Parts or Components Not Supplied by Dell. Commercial Hardware Products That Use, or in Which Have Been Installed, Products or Components That Have Not Been Provided by Dell. Products with Missing or Altered Service Tags or Serial Numbers. Products for Which Dell Has Not Received Payment. Normal Wear and Tear.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS TUF 60.45 cm (23.8 inch) Full HD VA Panel with Extreme Low Motion Blur, Adaptive-sync, Premium In...","₹10,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/s/u/n/vg247q1a-full-hd-23-8-2022-90lm0751-b01110-asus-original-imagr6px8hyjsagp.jpeg?q=70,https://www.flipkart.com/asus-tuf-60-45-cm-23-8-inch-full-hd-va-panel-extreme-low-motion-blur-adaptive-sync-premium-inbuilt-speakers-eye-care-display-port-hdmi-gaming-monitor-vg247q1a/p/itm94e9e14a6fa06?pid=MONGR4RCEXYRTQW3&lid=LSTMONGR4RCEXYRTQW3GO8EXC&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_246&otracker=search&otracker1=search&fm=organic&iid=3c5ce296-80ce-481c-9a2d-d90c516abc1c.MONGR4RCEXYRTQW3.SEARCH&ppt=None&ppn=None&ssid=qo1ssw32q80000001738368421701&qH=08b5411f848a2581,2025-02-01 01:07:04,VG247Q1A,Black,60.45 cm (23.8 inch) LED Display,VA Panel,Full HD,"1 Monitor, Display Port Cable, Power Cord, Quick Start Guide, Warranty Card",Flat,,"165 Hz (Analog), 165 Hz (Digital)",16:09,,,1 ms,350 nits (2D),,,,,,,3 Years Domestic Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,,,,,,,,,,,,,,TUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0054),"₹3,154",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/0/5/k/mon-0054-hd-20-2023-mon-0054-frontech-original-imahyrryap3ccunb.jpeg?q=70,https://www.flipkart.com/frontech-50-8-cm-20-inch-hd-led-backlit-va-panel-monitor-mon-0054/p/itm8713072821479?pid=MONGS24B7UGXAKTX&lid=LSTMONGS24B7UGXAKTXPSDLVN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_247&otracker=search&otracker1=search&fm=organic&iid=en_wKwK--jWlU2Wez_Fw64krhWZBlBMJJWkpgrmo0VbDpL_lGv9xGdBHYZXa2qjbsn574pIOCgOsQwMv4cWGsBP7Q%3D%3D&ppt=None&ppn=None&ssid=qo1ssw32q80000001738368421701&qH=08b5411f848a2581,2025-02-01 01:07:04,MON-0054,Black,50.8 cm (20 inch) LED Display,VA Panel,HD,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,"130° (2D), 160° (3D)","90° (2D), 0° (3D)",5 ms,"250 nits (2D), 0 nits (3D)",86%,AC 180V - 255V,"Yes, 1 x 1.3 Port",Yes,No,"Windows 11, Windows 10, Windows 8.1, Windows 8",1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,LED Backlit Backlight,1600 x 900 pixels,1080p,"1000000:1, 1000000:1 (Dynamic)",0.276 mm,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,"24 W (Operational), 0 W (Standby)","Yes, 15 Pin",NA,Yes,NA,220 mm,360 mm,471 mm,220 mm,356 mm,471 mm,-,No,-,-,0 Hz,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mountable","No, Supported by - with -",0 ms,-,-,NA,0,NA,0,Yes,0 x 0 Port,No,No,0 - 50° C,0 - 0° C,20 - 60° C,20 - 60 %,NA,Yes,-3 to 12 Degree,0,215 x 205 x 165 mm,No,-,No,"Auto, Menu, Up, Down, Power",15 Languages,3.25 kg,3 kg,,,,
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074),"₹2,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/0/t/x/mon-0074-hd-20-2024-mon-0074-frontech-original-imahfcg7gfpbrean.jpeg?q=70,https://www.flipkart.com/frontech-50-8-cm-20-inch-hd-led-backlit-va-panel-monitor-mon-0074/p/itm9e337ade78a95?pid=MONH3VBQMXCYT5SQ&lid=LSTMONH3VBQMXCYT5SQF9NE5M&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_248&otracker=search&otracker1=search&fm=organic&iid=en_wKwK--jWlU2Wez_Fw64krhWZBlBMJJWkpgrmo0VbDpIzRwiWcR4jUnQjcCu24mluPcJaFoqu5n9y1uOEkOSB5g%3D%3D&ppt=None&ppn=None&ssid=qo1ssw32q80000001738368421701&qH=08b5411f848a2581,2025-02-01 01:07:04,MON-0074,Black,50.8 cm (20 inch) LED Display,VA Panel,HD,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,"130° (2D), 160° (3D)","90° (2D), 0° (3D)",3 ms,"250 nits (2D), 0 nits (3D)",86%,AC 180V - 255V,"Yes, 1 x 1.3 Port",Yes,No,"Windows 11, Windows 10, Windows 8.1, Windows 8",1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,LED Backlit Backlight,1600 x 900 pixels,HD,"1000000:1, 1000000:1 (Dynamic)",0.276 mm,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,"24 W (Operational), 0 W (Standby)","Yes, 15 Pin",NA,Yes,NA,220 mm,360 mm,471 mm,220 mm,356 mm,471 mm,-,No,-,-,0 Hz,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mountable","No, Supported by - with -",0 ms,-,-,NA,0,NA,0,Yes,0 x 0 Port,No,No,0 - 50° C,0 - 0° C,20 - 60° C,20 - 60 %,NA,Yes,-3 to 12 Degree,0,215 x 205 x 165 mm,No,-,No,"Auto, Menu, Up, Down, Power",15 Languages,3.25 kg,3 kg,,,,
"DELL 60.96 cm (24 inch) Full HD LED Backlit VA Panel with with 16:9 Aspect Ratio, 250 Nits Brightness ...","₹8,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/s/6/p/se2425h-full-hd-24-2024-29k2p-dell-original-imah5gfbcsy48hm7.jpeg?q=70,https://www.flipkart.com/dell-60-96-cm-24-inch-full-hd-led-backlit-va-panel-16-9-aspect-ratio-250-nits-brightness-typical-1x-hdmi-vga-power-connector-security-lock-tuv-certified-monitor-se2425h/p/itm223e7545cdffe?pid=MONH5HKZUECN2C8K&lid=LSTMONH5HKZUECN2C8KO7LLES&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_249&otracker=search&otracker1=search&fm=organic&iid=3c5ce296-80ce-481c-9a2d-d90c516abc1c.MONH5HKZUECN2C8K.SEARCH&ppt=None&ppn=None&ssid=qo1ssw32q80000001738368421701&qH=08b5411f848a2581,2025-02-01 01:07:04,SE2425H,Black,60.96 cm (24 inch) LED Display,VA Panel,Full HD,"1 Monitor, Stand, Quick Start Guide, Power Cable, HDMI Cable 1.8 m, Warranty Card",Flat,,"75 Hz (Analog), 75 Hz (Digital)",16:9,,,5 ms,250 nits (2D),83%,,"Yes, 1",No,,,3 Years Warranty,All Manufacturing Defects,Physical Damages,3 Year,LED Backlit Backlight,1920 x 1080 pixels,,3000:1,,No,,,No,,Yes,,,,,,,,,,,,,Anti-glare,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViewSonic 68.58 cm (27 inch) 4K Ultra HD IPS Panel Monitor (VX2762U-4K),"₹24,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/j/j/h/-original-imah45nfksvh7htc.jpeg?q=70,https://www.flipkart.com/viewsonic-68-58-cm-27-inch-4k-ultra-hd-ips-panel-monitor-vx2762u-4k/p/itm80f0fae501c46?pid=MONGUYF3Z5CZUZU7&lid=LSTMONGUYF3Z5CZUZU7BWVNBI&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_250&otracker=search&otracker1=search&fm=organic&iid=3c5ce296-80ce-481c-9a2d-d90c516abc1c.MONGUYF3Z5CZUZU7.SEARCH&ppt=None&ppn=None&ssid=qo1ssw32q80000001738368421701&qH=08b5411f848a2581,2025-02-01 01:07:04,VX2762U-4K,Black,68.58 cm (27 inch) LCD Display,IPS Panel,4K Ultra HD,"1 Monitor, 3-Pin Plug, HDMI Cable, USB Type-C Cable, USB A/B Cable, Quick Start Guide",Flat,,"60 Hz (Analog), 60 Hz (Digital)",16:09,,,3.8 ms,250 nits (2D),,,,,,,3 Years Manufacturer Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo L-Series 68.58 cm (27 inch) Quad HD LED Backlit IPS Panel with 99% sRGB, 90% DCI-P3, 2xHDMI 2.1...","₹20,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/p/r/8/l27q-4a-full-hd-27-2023-67bfgac6in-lenovo-original-imah5r6wzavauenr.jpeg?q=70,https://www.flipkart.com/lenovo-l-series-68-58-cm-27-inch-quad-hd-led-backlit-ips-panel-99-srgb-90-dci-p3-2xhdmi-2-1-1xdp-1-4-tilt-swivel-pivot-height-adjustable-stand-3wx2-inbuilt-speakers-customization-artery-smart-display-monitor-l27q-4a/p/itmc89d3f8c296fa?pid=MONH5P8FNVRC7FFV&lid=LSTMONH5P8FNVRC7FFVFS2ALP&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_251&otracker=search&otracker1=search&fm=organic&iid=en_wKwK--jWlU2Wez_Fw64krhWZBlBMJJWkpgrmo0VbDpJHJYqIwKNfHM0qzPT1QRWJhEHqf9QJgS8ipI-4xntn4w%3D%3D&ppt=None&ppn=None&ssid=qo1ssw32q80000001738368421701&qH=08b5411f848a2581,2025-02-01 01:07:04,L27q-4A,Cloud Grey,68.58 cm (27 inch) LED Display,IPS Panel,Quad HD,"1 Monitor, HDMI Cable, Power Cable, Warranty Booklet, Quick Setup Guide",Flat,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,,,1 ms,350 nits (2D),,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,LED Backlit Backlight,,,,,Yes,,,Yes,,,,,,,,,,,,L-Series,,,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo L-Series 68.58 cm (27 inch) Full HD LED Backlit IPS Panel with 99% sRGB, 1xHDMI1.4, 1xVGA, Tilt...","₹12,349",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/3/l/j/l27i-4a-full-hd-24-2023-67bekac1in-lenovo-original-imah5r6xc4hcpcra.jpeg?q=70,https://www.flipkart.com/lenovo-l-series-68-58-cm-27-inch-full-hd-led-backlit-ips-panel-99-srgb-1xhdmi1-4-1xvga-tilt-able-stand-3wx2-inbuilt-speakers-customization-artery-smart-display-monitor-l27i-4a/p/itm74ff808e8b852?pid=MONH5P8F9G6BGPVT&lid=LSTMONH5P8F9G6BGPVTEKIQRG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_252&otracker=search&otracker1=search&fm=organic&iid=en_wKwK--jWlU2Wez_Fw64krhWZBlBMJJWkpgrmo0VbDpLoy3F1-ympRSTKf4D8FlSHGTwZE5Q2rqhKbj-Lom52Gg%3D%3D&ppt=None&ppn=None&ssid=qo1ssw32q80000001738368421701&qH=08b5411f848a2581,2025-02-01 01:07:04,L27i-4A,Cloud Grey,68.58 cm (27 inch) LED Display,IPS Panel,Full HD,"1 Monitor, HDMI Cable, Power Cable, Warranty Booklet, Quick Setup Guide",Flat,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,,,1 ms,300 nits (2D),,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,LED Backlit Backlight,,,,,Yes,,,Yes,,,,,,,,,,,,L-Series,,,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer 59.94 cm (23.6 inch) Curved Full HD VA Panel with VESA Mount Support, 1500R Curvature, HDMI 1.4, ...",Data not available,Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/r/5/v/-original-imaggd38vfwc6h7v.jpeg?q=70,https://www.flipkart.com/acer-59-94-cm-23-6-inch-curved-full-hd-va-panel-vesa-mount-support-1500r-curvature-hdmi-1-4-integrated-speakers-gaming-monitor-ed240q/p/itm30fe5e5a30da7?pid=MONGHYDYGZVXTBS9&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_253&otracker=search&otracker1=search&fm=organic&iid=3c5ce296-80ce-481c-9a2d-d90c516abc1c.MONGHYDYGZVXTBS9.SEARCH&ppt=None&ppn=None&ssid=qo1ssw32q80000001738368421701&qH=08b5411f848a2581,2025-02-01 01:07:04,ED240Q,Black,59.94 cm (23.6 inch) LED Display,VA Panel,Full HD,"1 Monitor, Power Cord, User Manual",Curved,16.7 m Colors,"75 Hz (Analog), 75 Hz (Digital)",,,,1 ms,250 nits (2D),,AC 100 - 240 V,Yes,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,,,1920 x 1080 pixels,,,,"Yes, 2 Speakers",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
