title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Battery Backup,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Graphic Processor,Storage Type,Operating System,Mic In,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Included Software,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Power Supply,Processor Variant,Number of Cores,Internal Mic,Pointer Device,Additional Features,Battery Cell,Clock Speed,HDMI Port,Processor Generation,Finger Print Sensor,Cache,Supported Operating System,Expandable Memory,Expandable SSD Capacity,TGP,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,RJ45,Refresh Rate,Face Recognition,OS Architecture,Chipset,EMMC Storage Capacity,Security Chip,Memory Slots,RPM,Hardware Interface,Ethernet,Antivirus,Inbuilt 4G LTE,Stylus Included,RAM Frequency,System Architecture,S-video,Color Gamut,Brightness,NFC Support,Wireless WAN,Read/Write Speed,Recovery Options,Laptop Bag,Lock Port,Dock Port,Firewire Port,RJ11,VGA Port,Multi Card Slot,Sound Chip,Cloud Storage,Other Accessories,International Warranty,Certification,HDD Capacity
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,"₹44,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/q/i/a324-51-thin-and-light-laptop-acer-original-imah4bj6zhjvn8uh.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-backlit-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm4fa0fcf0e2e15?pid=COMHY24RMZ8PUDTT&lid=LSTCOMHY24RMZ8PUDTT6GAEHA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_13_307&otracker=search&fm=organic&iid=en_6chsv2b3Bg1Z3lBi2jqTDc8pKGO6jbLqNjdgFIbSiW8BWcyRnhzLBhb8deuvpn2W1srrJst3OanzJdW0yf8DAfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=x639lyomls0000001738366221542&qH=312f91285e048e09,2025-02-01 00:30:21,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-51,UN.343SI.003,A324-51,Aspire 3 Backlit,Steel Gray,Thin and Light Laptop,Everyday Use,,No,Intel,Core i5,Yes,512 GB,16 GB,DDR4,Intel Integrated Intel Graphics,SSD,Windows 11 Home,,,No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",Two built-in stereo speakers,,WIFI 6,v5.2,321.7 x 206.6 x 19.4 mm,1.45 Kg,Not Available,2M With Privacy Camera Shutter,84-key Acer backlit keyboard layout with US language,Yes,,1 Year Domestic Warranty,Onsite,Manufacturing Defects,Physical Damage,,65 W,1235U,,Yes,Touchpad,,2 cell,Max turbo frequency at 4.4 Ghz,1x HDMI Port,12th Gen,No,,,,,,,,,,No,64 bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,"₹48,700",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/0/k/14iah8-thin-and-light-laptop-lenovo-original-imahfyrf9zzhzyy5.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-14iah8-thin-light-laptop/p/itm726ac134d0530?pid=COMHFYZ3GZVH37GY&lid=LSTCOMHFYZ3GZVH37GYBMASJU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_13_308&otracker=search&fm=organic&iid=en_6chsv2b3Bg1Z3lBi2jqTDc8pKGO6jbLqNjdgFIbSiW9chTJHASNfWb05U_N4ybhbDh4yz2gzKJCnktvKDP-lH_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=x639lyomls0000001738366221542&qH=312f91285e048e09,2025-02-01 00:30:21,"Laptop, Power Adaptor, User Guide, Warranty Documents",14IAH8,83EQ0063IN,14IAH8,IdeaPad Slim 3,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Core i5,Yes,512 GB,8 GB,LPDDR5,Intel Integrated UHD,SSD,Windows 11 Home,,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort 1.2)",No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD, TN 250nits Anti-glare",Yes,,"Wi-Fi 6, 11ax 2x2",v5.2,324.3 x 213.8 x 17.9 mm,1.37 Kg,Not Available,Full HD 1080p with Privacy Shutter,"Backlit, English",,,1 Yr. Onsite,Carry-in,Manufacturing Defects,Physical Damage,,65 W,12450H,,Yes,,,,Max Turbo Frequency upto 4.40 GHz,1 x HDMI 1.4,12th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0186TU Thin and Light ...,"₹41,490",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/6/c/laptop-thin-and-light-laptop-hp-original-imah63jq6k5vatud.jpeg?q=70,https://www.flipkart.com/hp-laptop-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-15-fd0186tu-thin-light/p/itm4fc6159aa1303?pid=COMHY9G672HKDZHB&lid=LSTCOMHY9G672HKDZHB92AOD1&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_13_309&otracker=search&fm=organic&iid=44127c40-8710-4b4a-a4b4-a86095cf5f85.COMHY9G672HKDZHB.SEARCH&ppt=None&ppn=None&ssid=x639lyomls0000001738366221542&qH=312f91285e048e09,2025-02-01 00:30:21,"Laptop, Power Adaptor, User Guide, Warranty Documents",15-fd0186TU,91Q92PA#ACJ,Laptop,Laptop,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Upto 7 Hours and 45 Minutes,No,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,SSD,Windows 11 Home,Yes,"1 x USB Type-C 5 Gbps Signaling Rate (Supports data transfer only and does not support charging or external monitors), 2 x USB Type-A 5 Gbps Signaling Rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, Micro Edge, Anti glare, 250 Nits, 45% NTSC",Dual Speakers,,Realtek Wi-Fi 6 (1x1),v5.3,359.8 x 236 x 18.6 mm,1.59 kg,Not Available,HP True Vision 1080p FHD Camera with Temporal Noise Reduction,"Full Size, Soft Grey Keyboard with Numeric Keypad",,,1 Year Onsite Warranty,Onsite,Manufacturing Damage,Physical Damage,1 Year,65W Smart AC Power Adapter,1315U,6,Integrated Dual Array Digital Microphones,"HP Imagepad, Precision Touchpad Support","41 Wh Li-ion Polymer, Supports Battery Fast Charge: Approximately 50% in 45 Minutes, Ocean Bound Plastic in Speaker Enclosure(s), Keyboard Keycaps and Scissors Contain Post Consumer Recycled Plastic, Mic Mute Key, Camera Privacy Shutter",3 Cell,Upto 4.5 GHz,1 x HDMI 1.4b,13th Gen,,10 MB,Window 11,,,,,,,,,,Intel integrated SoC,,"Energy Star Certified, EPEAT Gold Registered, Trusted Platform Module (Firmware TPM) Support",,,PCIe NVMe M.2,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 240 G9 Intel Core i3 12th Gen 1215 - (8 GB/512 GB SSD/Windows 11 Home) 240 G9 Laptop,"₹32,790",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/y/i/240-g9-laptop-hp-original-imah2hw34jzhnj4z.jpeg?q=70,https://www.flipkart.com/hp-240-g9-intel-core-i3-12th-gen-1215-8-gb-512-gb-ssd-windows-11-home-laptop/p/itmaeab3e70c465d?pid=COMGWAAGAPAVH3JF&lid=LSTCOMGWAAGAPAVH3JFP0MFIQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_13_310&otracker=search&fm=organic&iid=44127c40-8710-4b4a-a4b4-a86095cf5f85.COMGWAAGAPAVH3JF.SEARCH&ppt=None&ppn=None&ssid=x639lyomls0000001738366221542&qH=312f91285e048e09,2025-02-01 00:30:21,"Main Laptop, Power Cable",240 G9,7M654PA,240 G9,240 G9,Silver,Laptop,"Everyday Use, Travel & Business, Performance",3.5 hour,No,Intel,Core i3,Yes,512 GB,8 GB,DDR4,NA,SSD,Windows 11 Home,,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 2 x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",No,35.56 cm (14 inch),1366X768 pixel,HD Anti-glare Display,Built-in Speakers,,,v5.1,,1.75 kg,Not Available,"HD 720p, with privacy shutter, fixed focus",Spill-resistant Backlit with white LED lighting Numeric keypad,,MS OFFICE,1 year Onsite Warrenty,Onsite,All issue expect of physical Damage,Physical Damage,12 Months,65W,1215,4,Yes,,,3 Cell,3.2 GHZ,1 x HDMI 1.4b,12th Gen,No,12MB,Windows,32,NA,,DDR4,,Yes,75 Hz,No,64 bit,12500,,,2,,,,NA,No,No,3200 MHz,,Yes,Silver,250 Nits,No,,,"Cloud, System",No,,Yes,Yes,Yes,No,,,,,,BIS,
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-440IN / ...,"₹36,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/f/y/-original-imagvyw9hqh6srxw.jpeg?q=70,https://www.flipkart.com/msi-modern-14-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-c12m-440in-c12mo-1021in-thin-light-laptop/p/itm8820edd8b6c55?pid=COMGMV6VJGYVBZSM&lid=LSTCOMGMV6VJGYVBZSMEGXIZN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_13_311&otracker=search&fm=organic&iid=en_6chsv2b3Bg1Z3lBi2jqTDc8pKGO6jbLqNjdgFIbSiW8vbpcQryk_LhtY_E6jyeWIR5n1wRUstEMuLJrpgC_DzaV8WX5krIChubBlraAu4CQ%3D&ppt=None&ppn=None&ssid=x639lyomls0000001738366221542&qH=312f91285e048e09,2025-02-01 00:30:21,"Laptop, Power adapter",Modern 14 C12M-440IN / Modern 14 C12MO-1021IN,9S7-14J111-440 / 9S7-14J111-1021,Modern 14 C12M-440IN,Modern 14,Urban Silver,Thin and Light Laptop,"Processing & Multitasking, Entertainment",,No,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Intel Integrated Iris Xe,SSD,Windows 11 Home,,"1 x Type-C USB3.2 Gen2 with PD charging, 1 x Type-A USB3.2 Gen2, 2 x Type-A USB2.0",No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD, 60Hz 45%NTSC IPS-Level",Built-in Speakers,,Intel Wi-Fi 6E AX211,v5.3,319.9 x 223 x 19.35 mm,1.4 Kg,Not Available,HD type (30fps@728p),Single backlight Keyboard(White),Yes,,1 Year Onsite Warranty,Onsite,Part Failure,"Physical Damage, Burn, Liquid Spill",1 Year,65W adapter,1235U,,Yes,,,3 cell,Base frequency 0.9 GHz upto Max Turbo Frequency 4.4 GHz,1 x HDMI,12th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...,"₹34,200",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/i/x/-original-imahyfx77g4cxt75.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15iau7-thin-light-laptop/p/itmdfa8fc0e85938?pid=COMGP26H8PHCAMZE&lid=LSTCOMGP26H8PHCAMZEGEC9S3&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_13_312&otracker=search&fm=organic&iid=en_6chsv2b3Bg1Z3lBi2jqTDc8pKGO6jbLqNjdgFIbSiW8krHfxCidUkA0sRGwV1Ok-GhzCajCYYtPG6llSkgRwrQ891ypMzu4_aryI8_sihJ8%3D&ppt=None&ppn=None&ssid=x639lyomls0000001738366221542&qH=312f91285e048e09,2025-02-01 00:30:21,"Laptop, battery, power adapter, user guide",15IAU7,82RK00VTIN,15IAU7,IdeaPad Slim 3,Arctic Grey,Thin and Light Laptop,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",Upto 10 Hours,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,SSD,Windows 11 Home,,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2)",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD TN 250nits Anti-glare,Yes,,"Wi-Fi 6, 11ax 2x2",v5.1,,1.63 Kg,Not Available,HD 720p with Privacy Shutter,"Non-backlit, English",No,,1 Yr. Onsite + 1 Yr. Accidental Damage Protection,Carry-in,Manufacturing Defects,Physical Damage,,,1215U,,Yes,,,,0.9 GHz upto max turbo frequency at 4.4 Ghz,,12th Gen,No,,,16GB,NA,,,,,,,,,,,,,,BR99X924BCQA,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 00:30:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 00:30:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,4.1,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/computer/x/0/k/14iah8-thin-and-light-laptop-lenovo-original-imahfyrf9zzhzyy5.jpeg?q=90,URL not available,2025-02-01 00:30:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 00:30:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 00:32:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 00:32:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Ligh...,"₹42,490",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/a/x/-original-imah2urv3hmzqyqw.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-1-amd-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itm7ecd736658657?pid=COMH3G96HYWQH8RT&lid=LSTCOMH3G96HYWQH8RT0SBYRV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_14_313&otracker=search&fm=organic&iid=9dc9cdc9-73b5-4160-accb-18485e2862bb.COMH3G96HYWQH8RT.SEARCH&ppt=None&ppn=None&ssid=5jwbbqpweo0000001738366330006&qH=312f91285e048e09,2025-02-01 00:32:17,"Laptop, Power Adaptor, User Guide, Warranty Documents",15ALC7,82R400EHIN,15ALC7,IdeaPad 1,Cloud Grey,Thin and Light Laptop,Processing & Multitasking,,Yes,AMD,Ryzen 7 Octa Core,Yes,512 GB,16 GB,DDR4,AMD Radeon AMD,SSD,Windows 11 Home,,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, IPS 250nits Anti-glare",Yes,,"Wi-Fi 6, 802.11ax 2x2",v5.2,360.2 x 236 x 17.9 mm,1.61 Kg,Not Available,HD 720p with Privacy Shutter,"Non-backlit, English",,,1 Yr. Onsite + 1 Yr. Accidental Damage Protection,Carry-In,Manufacturing Defects,Physical Damage,,,5700U,,Yes,,,,Up to 4.3 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELL Intel Core i5 13th Gen - (8 GB/1 TB SSD/Windows 11 Home) IN5430NH6KJM01ORS1 Thin and Light Laptop,"₹59,740",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/0/u/inspiron-5430-laptop-dell-original-imagq2ny8txfzgyt.jpeg?q=70,https://www.flipkart.com/dell-intel-core-i5-13th-gen-8-gb-1-tb-ssd-windows-11-home-in5430nh6kjm01ors1-thin-light-laptop/p/itm2d84af8f1410c?pid=COMGS7QDGWGQ5DDP&lid=LSTCOMGS7QDGWGQ5DDPSKNXYQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_14_314&otracker=search&fm=organic&iid=9dc9cdc9-73b5-4160-accb-18485e2862bb.COMGS7QDGWGQ5DDP.SEARCH&ppt=None&ppn=None&ssid=5jwbbqpweo0000001738366330006&qH=312f91285e048e09,2025-02-01 00:32:17,"Laptop, Power Adaptor, User Guide, Warranty Documents",IN5430NH6KJM01ORS1,IN5430NH6KJM01ORS1,Inspiron 5430,,Platinum Silver,Thin and Light Laptop,Travel & Business,UPTO 8 HRS,Yes,Intel,Core i5,Yes,1 TB,8 GB,LPDDR5,Intel Integrated Intel Iris Xe Graphics,SSD,Windows 11 Home,,,No,35.56 cm (14 inch),1920 x 1200 pixel,,,,,YES,,,Not Available,,,,,1-year warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,,,13th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 16X for Creator, Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home/4 GB ...","₹70,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/9/1/-original-imagsz6yhngzhh7w.jpeg?q=70,https://www.flipkart.com/asus-vivobook-16x-creator-intel-core-i7-12th-gen-12700h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-k3605zc-rp628ws-gaming-laptop/p/itme304c469918e6?pid=COMH3J9Y3YDSZGMM&lid=LSTCOMH3J9Y3YDSZGMMSVSPKC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_14_315&otracker=search&fm=organic&iid=9dc9cdc9-73b5-4160-accb-18485e2862bb.COMH3J9Y3YDSZGMM.SEARCH&ppt=None&ppn=None&ssid=5jwbbqpweo0000001738366330006&qH=312f91285e048e09,2025-02-01 00:32:17,"Laptop, Power Adaptor, User Guide, Warranty Documents",K3605ZC-RP628WS,90NB11F2-M00WX0,K3605ZC-RP628WS,"Vivobook 16X for Creator,",Cool Silver,Gaming Laptop,Gaming,,Yes,Intel,Core i7,Yes,512 GB,16 GB,DDR4,NVIDIA GeForce RTX 3050,SSD,Windows 11 Home,,"1 x USB 3.2 Gen 1 Type-C support power delivery, 2 x USB 3.2 Gen 1 Type-A",No,40.64 cm (16 Inch),1920 x 1200 Pixel,"WUXGA, 16:10 aspect ratio, LED Backlit, IPS-level Panel, 144Hz refresh rate, 300nits, 45% NTSC color gamut, Anti-glare display",Yes,,Wi-Fi 6E(802.11ax) (Dual band) 2*2,v5.3,358.6 x 249.1 x 18.9 mm,1.80 Kg,Not Available,720p HD camera With privacy shutter,Backlit Chiclet Keyboard with Num-key,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,12700H,,Yes,,,,Up to 4.7 GHz,,12th Gen,,,,,,,GDDR6,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/DOS) V15 G4 Thin and Light Laptop,"₹27,100",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/e/b/-original-imah4dcjruqhssuh.jpeg?q=70,https://www.flipkart.com/lenovo-v15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-dos-g4-thin-light-laptop/p/itm6ce9479a45966?pid=COMGPYKZZFCDVUNX&lid=LSTCOMGPYKZZFCDVUNXPSOHV8&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_14_316&otracker=search&fm=organic&iid=9dc9cdc9-73b5-4160-accb-18485e2862bb.COMGPYKZZFCDVUNX.SEARCH&ppt=None&ppn=None&ssid=5jwbbqpweo0000001738366330006&qH=312f91285e048e09,2025-02-01 00:32:17,"Laptop, User manual, Adapter",V15 G4,82YU00W6IN,V15 G4,V15,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Upto 8.7 Hours,No,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,LPDDR5,AMD Radeon AMD,SSD,DOS,,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD Anti-glare Display,Yes,,"Wi-Fi 6, 802.11ax 2x2 Wi-Fi",v5.1,359.2 x 235.8 x 19.9 mm,1.65 Kg,Not Available,"HD 720p, with privacy shutter, fixed focus",,No,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,7320U,,Yes,,,,2.4 GHz upto max turbo frequency at 4.1 Ghz,1 x HDMI 1.4b,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook AIR Apple M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7V4HN/A,"₹91,064",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/n/p/-original-imagfdfew8gszzhk.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7v4hn-a/p/itm6533ea968a81e?pid=COMH64PYUPETD5WB&lid=LSTCOMH64PYUPETD5WB801R5F&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_14_317&otracker=search&fm=organic&iid=en_2nHqvg0Ar8jNzW_XeSzPiCg7UujtSTyh5bKrFOz9tC30sOrZ_yM1FqEYwmu3RA1sOnrLRzADKMbyk1xnMtN9wfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=5jwbbqpweo0000001738366330006&qH=312f91285e048e09,2025-02-01 00:32:17,"13.6 inch MacBook Air USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m)",MC7V4HN/A,MC7V4HN/A,MacBook Air,MacBook AIR,Silver,Thin and Light Laptop,Processing & Multitasking,Upto 18 Hours,No,Apple,M2,Yes,256 GB,16 GB,Unified Memory,NA,SSD,macOS Sequoia,Yes,2 x Thunderbolt USB 4,No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina display, LED-backlit display with IPS technology native resolution at 224 pixels per inch, 500 nits brightness",Built-in Speakers,Four-speaker sound system,Wi-Fi 6 (802.11ax),v5.3,304.1 x 215.0 x 11.3 mm,1.24 kg,Not Available,1080p FaceTime HD camera,Backlit Magic Keyboard,Yes,"Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather",1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook AIR Apple M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY43HN/A,"₹83,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/v/v/-original-imagfdeqter4sj2j.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mly43hn-a/p/itmdc5308fa78421?pid=COMGFB2GDBDYXF9D&lid=LSTCOMGFB2GDBDYXF9DPTKNCZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_14_318&otracker=search&fm=organic&iid=en_2nHqvg0Ar8jNzW_XeSzPiCg7UujtSTyh5bKrFOz9tC1d-uG9ltvYmWQGx1SRabFuTmPgHcV_s20Kn0XXoRBZEoQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=5jwbbqpweo0000001738366330006&qH=312f91285e048e09,2025-02-01 00:32:17,"MacBook Air, 35W Dual USB-C Port Power Adapter, USB-C to MagSafe 3 Cable",MLY43HN/A,MLY43HN/A,MacBook Air,MacBook AIR,Midnight,Thin and Light Laptop,Processing & Multitasking,Upto 18 Hours,No,Apple,M2,Yes,512 GB,8 GB,Unified Memory,NA,SSD,Mac OS Monterey,Yes,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 215.0 x 11.3,1.24 Kg,Not Available,1080p FaceTime HD camera,Backlit Magic Keyboard,Yes,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,35 W Dual USB-C Port Power Adapter,Apple M2 Chip,8,Three-mic Array with Directional Beamforming,Force Touch Trackpad,52.6 Watt Hour Lithium Polymer Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
