title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Power Supply Required,Part Number,Memory,Memory Bandwidth,Graphics Technologies Supported,3D Support,DVI and HDMI Interface,Other Interface,HD Content Support,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,Cooling and Heatsink,Dimensions,Weight,Additional Features,Processors and Cores,Shader,Maximum Resolution,Supported OS,Software Included,RAMDAC Clock Speed,VGA/D-SUB Output,GPU Manufacturing Process,Mini HDMI,Other System Requirements
Inno3D NVIDIA GEFORCE RTX 4070 Ti X3 OC 12GB WHITE - N4...,"₹78,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/k/n/c/geforce-rtx-4070-ti-x3-oc-12gb-white-n407t3-126xx-186148w-inno3d-original-imagt9zhpdear3nw.jpeg?q=70,https://www.flipkart.com/inno3d-nvidia-geforce-rtx-4070-ti-x3-oc-12gb-white-n407t3-126xx-186148w-12-gb-gddr6x-graphics-card/p/itm59cce21f7728c?pid=GRCGT9ZM7XXV28GQ&lid=LSTGRCGT9ZM7XXV28GQPLDJEN&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_141&otracker=search&fm=organic&iid=85c99d90-00d0-421d-99e5-acb57c448e52.GRCGT9ZM7XXV28GQ.SEARCH&ppt=None&ppn=None&ssid=ck9awgz38g0000001738684040748&qH=ae2a487734c75ca2,2/5/2025 16:45,Graphic Card and Maunal,Inno3D,NVIDIA GEFORCE RTX 4070,2640 MHz,PCI-E 4.0 X16,GEFORCE RTX 4070 Ti X3 OC 12GB WHITE - N407T3-126XX-186148W,700 W,N407T3-126XX-186148W,"192-bit, 12 GB GDDR6X Memory",,,,,,HDCP Support,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,42 x 118 x 297 mm,,,7680 CUDA Cores,,7680x4320 (Digital),"Windows 11 / 10, Linux, FreeBSDx86",,,,,,
MSI NVIDIA GeForce RTX 4070 SUPER 12G GAMING X SLIM 12 ...,"₹83,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/e/i/q/geforce-rtx-4070-super-12g-gaming-x-slim-msi-original-imagxhg69ysjngvj.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-4070-super-12g-gaming-x-slim-12-gb-gddr6x-graphics-card/p/itm6d651e501f25a?pid=GRCGXF4NBPW6ZFEA&lid=LSTGRCGXF4NBPW6ZFEAPAJYDL&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_145&otracker=search&fm=organic&iid=85c99d90-00d0-421d-99e5-acb57c448e52.GRCGXF4NBPW6ZFEA.SEARCH&ppt=None&ppn=None&ssid=ck9awgz38g0000001738684040748&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, Quick Setup Guide, Warranty Card",MSI,NVIDIA NVIDIA GeForce RTX 4070 SUPER,2640 MHz,PCI Express Gen 4,GeForce RTX 4070 SUPER 12G GAMING X SLIM,245 W,GeForce RTX 4070 SUPER 12G GAMING X SLIM,"192-bit, 12 GB GDDR6X Memory",21 Gbps,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,Carry-in,,,,,,,,,,,,,,
ZEBRONICS NVIDIA Gt610 2Gb graphics card 2 GB DDR3 Grap...,"₹1,440",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/x/n/q/zebronics-gt610-2gb-graphics-card-c-computer-original-imah4nhnctazw6wu.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-gt610-2gb-graphics-card-2-gb-ddr3/p/itmf90c3c8d31ae1?pid=GRCH4NMY8ZAHGYBT&lid=LSTGRCH4NMY8ZAHGYBTOER7VD&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_149&otracker=search&fm=organic&iid=85c99d90-00d0-421d-99e5-acb57c448e52.GRCH4NMY8ZAHGYBT.SEARCH&ppt=None&ppn=None&ssid=ck9awgz38g0000001738684040748&qH=ae2a487734c75ca2,2/5/2025 16:45,1 graphics_card,ZEBRONICS,NVIDIA zebronics,1000 MHz,Pcie 2.0,Gt610 2Gb graphics card,,gt 610,"64-bit, 2 GB DDR3 Memory",,,,,,,NA,not working,damage,by service center,,,,,,,,,,,,,,
ASUS NVIDIA Dual NVIDIA GeForce RTX3050-8G-V2 Gaming Gr...,"₹29,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/n/j/t/dual-nvidia-geforce-rtx3050-8g-v2-gaming-graphics-card-asus-original-imagtykq4jvaawht.jpeg?q=70,https://www.flipkart.com/asus-nvidia-dual-geforce-rtx3050-8g-v2-gaming-graphics-card-8-gb-gddr6/p/itmbf83ac5ab45ec?pid=GRCGSYFGF32ZXRHT&lid=LSTGRCGSYFGF32ZXRHTP4FKRU&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_153&otracker=search&fm=organic&iid=85c99d90-00d0-421d-99e5-acb57c448e52.GRCGSYFGF32ZXRHT.SEARCH&ppt=None&ppn=None&ssid=ck9awgz38g0000001738684040748&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, Speed Setup Manual",ASUS,NVIDIA GeForce RTX 3050,1822 MHz,PCI Express 4.0,Dual NVIDIA GeForce RTX3050-8G-V2 Gaming Graphics card,550 W,90YV0GH7-M0NB00,"128-bit, 8 GB GDDR6 Memory",,,,,,HDCP Support,3 Years Warranty,Manufacturing Defects,Physical and Liquid Damages,Carry-in,,,,,,,,,,,,,,
ZOTAC NVIDIA GAMING GEFORE RTX 3050 ECO SOLO 8 GB GDDR6...,"₹20,737",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/o/b/j/gaming-gefore-rtx-3050-eco-solo-zotac-original-imagxauyfknajxyt.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-gaming-gefore-rtx-3050-eco-solo-8-gb-gddr6-graphics-card/p/itm3c6132fba27cc?pid=GRCGXAUYTRCKAZ9H&lid=LSTGRCGXAUYTRCKAZ9H2QNSWY&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_157&otracker=search&fm=organic&iid=85c99d90-00d0-421d-99e5-acb57c448e52.GRCGXAUYTRCKAZ9H.SEARCH&ppt=None&ppn=None&ssid=ck9awgz38g0000001738684040748&qH=ae2a487734c75ca2,2/5/2025 16:45,"ZOTAC GAMING GeForce RTX 4060 Ti 16GB Twin Edge, User Manual",ZOTAC,NVIDIA GEFORCE RTX 3050,1777 MHz,128,GAMING GEFORE RTX 3050 ECO SOLO,,4.90E+12,"128-bit, 8 GB GDDR6 Memory",,,,,,,5 Years Warranty,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹7,599",4.3,Data not available,https://rukminim2.flixcart.com/image/300/300/ks99aq80/graphics-card/p/9/g/geforce-gt-730-asus-original-imag5v72yeytvtjn.jpeg?q=90,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI NVIDIA GeForce RTX 3080 GAMING Z TRIO 12G LHR 12 GB...,"₹1,04,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l3929ow0/graphics-card/9/t/0/geforce-rtx-3080-gaming-z-trio-12g-lhr-msi-original-imagefyyfh4hekrs.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-3080-gaming-z-trio-12g-lhr-12-gb-gddr6x-graphics-card/p/itm52aac4a566f21?pid=GRCGEFYYK3ZDQGZK&lid=LSTGRCGEFYYK3ZDQGZKX6IIDJ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_161&otracker=search&fm=organic&iid=d137f04c-c54e-4cd2-940e-528bff62b64d.GRCGEFYYK3ZDQGZK.SEARCH&ppt=None&ppn=None&ssid=2n5tdzvqjk0000001738684071762&qH=ae2a487734c75ca2,2/5/2025 16:45,1 Graphic Card and Manual,MSI,NVIDIA GeForce RTX 3080,18151 MHz,PCI Express Gen 4,GeForce RTX 3080 GAMING Z TRIO 12G LHR,390 W,GeForce RTX 3080 GAMING Z TRIO 12G LHR,"384-bit, 12 GB GDDR6X Memory",19 Gbps,,,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,323 x 140 x 56 mm,1566 g,,8960 CUDA Cores,,7680 x 4320 (Digital),,,,,,,
AMD AMD Radeon Sapphire Pulse Radeon™ RX 6800 Graphic C...,"₹99,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l0vbukw0/graphics-card/j/v/i/sapphire-pulse-radeon-rx-6800-graphic-card-with-16-gb-gddr6-rdna-original-imagckhgexfjfvrm.jpeg?q=70,https://www.flipkart.com/amd-radeon-sapphire-pulse-radeon-rx-6800-graphic-card-16-gb-gddr6-rdna-gddr6-graphics/p/itm4fb0dbac2b0cc?pid=GRCGCG63SEBNTMZY&lid=LSTGRCGCG63SEBNTMZYGVKJ5V&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_165&otracker=search&fm=organic&iid=d137f04c-c54e-4cd2-940e-528bff62b64d.GRCGCG63SEBNTMZY.SEARCH&ppt=None&ppn=None&ssid=2n5tdzvqjk0000001738684071762&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphic Card, Quick Installation Guide",AMD,AMD Radeon RX 6800,1950 MHz,PCIe 4.0,"Sapphire Pulse Radeon™ RX 6800 Graphic Card with 16 GB GDDR6, RDNA™",650 W,11305-02-20G,"256-bit, 16 GB GDDR6 Memory with 16 MHz",,"Microsoft DirectX v12, Open GL Optimization v4.6",,,,HDTV Support,3 Years Limited Warranty,Manufacturing Defects if Any,"Burn, Physical Damage",Carry In,Air Cooling,,,,3480 Stream Processor,,7680 x 4320 (Digital),Windows,,,0xVGA DSub Output,7 nm,,
MSI AMD Radeon Radeon RX 6600 XT MECH 2X 8G OC 8 GB GDD...,"₹38,940",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l3929ow0/graphics-card/c/5/o/radeon-rx-6600-xt-mech-2x-8g-oc-msi-original-imagefyy96dp6wzg.jpeg?q=70,https://www.flipkart.com/msi-amd-radeon-rx-6600-xt-mech-2x-8g-oc-8-gb-gddr6-graphics-card/p/itmebd8d15dade95?pid=GRCGEFYYS2ZEZJUM&lid=LSTGRCGEFYYS2ZEZJUM0PS5PJ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_169&otracker=search&fm=organic&iid=d137f04c-c54e-4cd2-940e-528bff62b64d.GRCGEFYYS2ZEZJUM.SEARCH&ppt=None&ppn=None&ssid=2n5tdzvqjk0000001738684071762&qH=ae2a487734c75ca2,2/5/2025 16:45,Graphic Card and Manual,MSI,AMD Radeon AMD Radeon RX 6600 XT,2602 MHz,PCI Express 4.0 x8,Radeon RX 6600 XT MECH 2X 8G OC,500 W,Radeon RX 6600 XT MECH 2X 8G OC,"128-bit, 8 GB GDDR6 Memory",16 Gbps,,,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,235 x 125 x 46 mm,721 g,,2048 CUDA Cores,,7680 x 4320 (Digital),,,,,,,
Sapphire AMD/ATI PULSE AMD RADEON� RX 7800 XT 16 GB GDD...,"₹52,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/w/w/r/pulse-amd-radeon-rx-7800-xt-sapphire-original-imagtvqzgfpxnw7j.jpeg?q=70,https://www.flipkart.com/sapphire-amd-ati-pulse-amd-radeon-rx-7800-xt-16-gb-gddr6-graphics-card/p/itm6741805faeec7?pid=GRCGTVJYWVKCQQWW&lid=LSTGRCGTVJYWVKCQQWW2XZKL8&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_173&otracker=search&fm=organic&iid=d137f04c-c54e-4cd2-940e-528bff62b64d.GRCGTVJYWVKCQQWW.SEARCH&ppt=None&ppn=None&ssid=2n5tdzvqjk0000001738684071762&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, User Manual, Warranty Card",Sapphire,AMD/ATI Amd Radeon RX 7800 XT,2475 MHz,PCI Express 4.0,PULSE AMD RADEON� RX 7800 XT,700 W,11330-02-20G,"256-bit, 16 GB GDDR6 Memory",,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,"Carry-in, If Any Query Please Reach Out to Us at service@arkinfo.in",,,,,,,,,Driver,,,,,
GIGABYTE NVIDIA GV-N4070GAMING OC-12GD 12 GB GDDR6X Gra...,"₹64,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/b/a/b/gv-n4070gaming-oc-12gd-gigabyte-original-imagsx7qy67wcn6g.jpeg?q=70,https://www.flipkart.com/gigabyte-nvidia-gv-n4070gaming-oc-12gd-12-gb-gddr6x-graphics-card/p/itmf6d7713c4feae?pid=GRCGSX7V6YMHC6EB&lid=LSTGRCGSX7V6YMHC6EBZSD34I&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_177&otracker=search&fm=organic&iid=d137f04c-c54e-4cd2-940e-528bff62b64d.GRCGSX7V6YMHC6EB.SEARCH&ppt=None&ppn=None&ssid=2n5tdzvqjk0000001738684071762&qH=ae2a487734c75ca2,2/5/2025 16:45,"Graphics Card, User Manual",GIGABYTE,NVIDIA ?PCI-Express x16,2565 MHz,NA,GV-N4070GAMING OC-12GD,,GV-N4070GAMING OC-12GD,"192-bit, 12 GB GDDR6X Memory",,,,,,,4 Years,Manufacture Defect,"Damage, Burn",Service Center,Triple-Fan,,,,,,,,Driver And Software,,,,,
Geforce NVIDIA 3050 8 GB GDDR6 Graphics Card,"₹34,500",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/a/i/s/3050-geforce-original-imagg9qkq2pqbtfx.jpeg?q=70,https://www.flipkart.com/geforce-nvidia-3050-8-gb-gddr6-graphics-card/p/itmf99177999c20a?pid=GRCGG9QKDHHTF6ZD&lid=LSTGRCGG9QKDHHTF6ZDQMSSW8&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_181&otracker=search&fm=organic&iid=d137f04c-c54e-4cd2-940e-528bff62b64d.GRCGG9QKDHHTF6ZD.SEARCH&ppt=None&ppn=None&ssid=2n5tdzvqjk0000001738684071762&qH=ae2a487734c75ca2,2/5/2025 16:45,Graphic card,Geforce,NVIDIA NVIDIA NVIDIA GeForce RTX 3050,1822 MHz,PCI Express Gen 4,3050,,GV-N3050GAMING OC-8GD,"256-bit, 8 GB GDDR6 Memory",,,,,,,1 year,Manufacturing defects,Physical damaged not covered,Carry In,,,,,,,,,,,,,,
ASUS AMD/ATI TUF Gaming Radeon RX 7800 XT OC Edition 16...,"₹55,949",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/x/q/m/tuf-gaming-radeon-rx-7800-xt-oc-edition-asus-original-imagy7yhtmthgtzw.jpeg?q=70,https://www.flipkart.com/asus-amd-ati-tuf-gaming-radeon-rx-7800-xt-oc-16-gb-gddr6-graphics-card/p/itm03563a1511731?pid=GRCGY4FCGYNC8VDH&lid=LSTGRCGY4FCGYNC8VDHOXUGFS&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_185&otracker=search&fm=organic&iid=d137f04c-c54e-4cd2-940e-528bff62b64d.GRCGY4FCGYNC8VDH.SEARCH&ppt=None&ppn=None&ssid=2n5tdzvqjk0000001738684071762&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, Certificate of Reliability, Graphics Card Holder, Velcro Hook and Loop, Collection Card, Speed Setup Manual, User Manual, Warranty Card",ASUS,AMD/ATI AMD Radeon RX 7800 XT,2565 MHz,PCI Express 4.0,TUF Gaming Radeon RX 7800 XT OC Edition,750 W,TUF-RX7800XT-O16G,"256-bit, 16 GB GDDR6 Memory",,,,1 x HDMI Output Out,,HDCP Support,3 Years Warranty,Manufacturing Defects,Physical and Water Damages,Carry-in,,319.8 x 150.9 x 59.2 mm,1718 g,,3840 Stream Processor,,7680 x 4320 (Digital),,,,,,,
MSI NVIDIA RTX 3060 GAMING 12 GB GDDR6 Graphics Card,"₹39,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kqpj4i80/graphics-card/a/f/4/geforce-rtx-3060-ti-gaming-x-12g-192-bit-l-pci-express-gen-4-original-imag4nyryterka6t.jpeg?q=70,https://www.flipkart.com/msi-nvidia-rtx-3060-gaming-12-gb-gddr6-graphics-card/p/itmb3249e22c8bea?pid=GRCGCCZQFX7WG3KY&lid=LSTGRCGCCZQFX7WG3KYI3ZNBC&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_189&otracker=search&fm=organic&iid=d137f04c-c54e-4cd2-940e-528bff62b64d.GRCGCCZQFX7WG3KY.SEARCH&ppt=None&ppn=None&ssid=2n5tdzvqjk0000001738684071762&qH=ae2a487734c75ca2,2/5/2025 16:45,Graphic Card,MSI,NVIDIA GeForce RTX 3060 GAMING X 12G,1837 MHz,PCI Express Gen 4,RTX 3060 GAMING,,GeForce RTX 3060 GAMING X 12G,"192-bit, 12 GB GDDR6 Memory with 1837 MHz",,,,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,,996 g,,,,,,,,,,,
MSI NVIDIA GTX 1650 Ventus XS OCV1 4 GB GDDR6 Graphics ...,"₹20,778",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kg40k280/graphics-card/g/c/h/msi-gtx-1650-ventus-xs-ocv1-original-imafweg7mfzrzaet.jpeg?q=70,https://www.flipkart.com/msi-nvidia-gtx-1650-ventus-xs-ocv1-4-gb-gddr6-graphics-card/p/itme98eb3d85b2fa?pid=GRCFWEF2PV9VPGCH&lid=LSTGRCFWEF2PV9VPGCHTZ3LIS&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_193&otracker=search&fm=organic&iid=d137f04c-c54e-4cd2-940e-528bff62b64d.GRCFWEF2PV9VPGCH.SEARCH&ppt=None&ppn=None&ssid=2n5tdzvqjk0000001738684071762&qH=ae2a487734c75ca2,2/5/2025 16:45,"MSI GRAPHICS CARD, Installation Guide",MSI,NVIDIA NVIDIA® GeForce® GTX 1650,1620 MHz,3,GTX 1650 Ventus XS OCV1,75 W,GTX 1650,"128-bit, 4 GB GDDR6 Memory with 3400 MHz",,,,1 x HDMI Output Out,1 x Display Port Out,,03 Years,Any Manufactured Defect,"The warranty does not cover that was damaged due to accident, misuse, abuse, improper installation, usage not in accordance with product specifications and instructions, natural or personal disaster, or unauthorized alterations, repairs or modifications.",Carry In,,,,,,,7680x4320 (Digital),,,,,,,
ZEBRONICS NVIDIA ZEBGT730 4 GB GDDR3 Graphics Card,"₹3,249",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/r/o/4/zebgt730-zebronics-original-imagz6umer5h8dvf.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-zebgt730-4-gb-gddr3-graphics-card/p/itma9dbce22e203e?pid=GRCGZ6UMFDRYHGXP&lid=LSTGRCGZ6UMFDRYHGXPFBDHGW&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_197&otracker=search&fm=organic&iid=d137f04c-c54e-4cd2-940e-528bff62b64d.GRCGZ6UMFDRYHGXP.SEARCH&ppt=None&ppn=None&ssid=2n5tdzvqjk0000001738684071762&qH=ae2a487734c75ca2,2/5/2025 16:45,"Pack of 1 graphic card, Pack of 1 manual card",ZEBRONICS,NVIDIA NVIDIA,700 MHz,PCI,ZEBGT730,,1234,"64-bit, 4 GB GDDR3 Memory",,,,,,,1,Actually the warranty cover,Demaged,Services Centre,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹3,249",3,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/graphics-card/r/o/4/zebgt730-zebronics-original-imagz6umer5h8dvf.jpeg?q=90,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEBRONICS NVIDIA ZEBGT730 4 GB GDDR3 Graphics Card,"₹3,249",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/r/o/4/zebgt730-zebronics-original-imagz6umer5h8dvf.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-zebgt730-4-gb-gddr3-graphics-card/p/itma9dbce22e203e?pid=GRCGZ6UMFDRYHGXP&lid=LSTGRCGZ6UMFDRYHGXPFBDHGW&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_6_201&otracker=search&fm=organic&iid=7b0e8de2-fbc6-44df-86eb-c3669b0cf348.GRCGZ6UMFDRYHGXP.SEARCH&ppt=None&ppn=None&ssid=l265oxqsrk0000001738684101011&qH=ae2a487734c75ca2,2/5/2025 16:45,"Pack of 1 graphic card, Pack of 1 manual card",ZEBRONICS,NVIDIA NVIDIA,700 MHz,PCI,ZEBGT730,,1234,"64-bit, 4 GB GDDR3 Memory",,,,,,,1,Actually the warranty cover,Demaged,Services Centre,,,,,,,,,,,,,,
MSI NVIDIA GeForce RTX 4060 Ti VENTUS 3X E 8G OC 8 GB G...,"₹45,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/s/p/l/geforce-rtx-4060-ti-ventus-3x-e-8g-oc-msi-original-imah78hnd8a4pasn.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-4060-ti-ventus-3x-e-8g-oc-8-gb-gddr6-graphics-card/p/itma22e418fde11f?pid=GRCH77HD2X6SYTRG&lid=LSTGRCH77HD2X6SYTRGPQLWYI&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_6_205&otracker=search&fm=organic&iid=7b0e8de2-fbc6-44df-86eb-c3669b0cf348.GRCH77HD2X6SYTRG.SEARCH&ppt=None&ppn=None&ssid=l265oxqsrk0000001738684101011&qH=ae2a487734c75ca2,2/5/2025 16:45,1 (GeForce RTX 4060 Ti VENTUS 3X E 8G OC ),MSI,NVIDIA NVIDIA GeForce RTX 4060 Ti,2565 MHz,PCI Express Gen 4 x16 (uses x8),GeForce RTX 4060 Ti VENTUS 3X E 8G OC,,8GB GDDR6,"128-bit, 8 GB GDDR6 Memory",,,,,,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,377 x 77 x 203 mm,713 g,Good Quality Product,,,,,,,,,,
MSI NVIDIA GeForce RTX 4060 Ti VENTUS 2X BLACK 8G OC 8 ...,"₹42,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/v/z/g/geforce-rtx-4060-ti-ventus-2x-black-8g-oc-msi-original-imah78hnyaqpmjg5.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-4060-ti-ventus-2x-black-8g-oc-8-gb-gddr6-graphics-card/p/itm26d501759c5c2?pid=GRCH77HEGWWCDHY6&lid=LSTGRCH77HEGWWCDHY6WCIBWL&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_6_209&otracker=search&fm=organic&iid=7b0e8de2-fbc6-44df-86eb-c3669b0cf348.GRCH77HEGWWCDHY6.SEARCH&ppt=None&ppn=None&ssid=l265oxqsrk0000001738684101011&qH=ae2a487734c75ca2,2/5/2025 16:45,1 (GeForce RTX 4060 Ti VENTUS 2X BLACK 8G OC ),MSI,NVIDIA NVIDIA GeForce RTX 4060 Ti,2580 MHz,PCI Express Gen 4 x16 (uses x8),GeForce RTX 4060 Ti VENTUS 2X BLACK 8G OC,,8GB GDDR6,"128-bit, 8 GB GDDR6 Memory",,,,,,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,199 x 42 x 120 mm,783 g,Good Quality Product,,,,,,,,,,
Xsentuals NVIDIA PCIe Riser Adapter Card VER009S / 009S...,₹429,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kq2o2vk0/graphics-card/v/o/0/16x-to-1x-powered-pcie-riser-adapter-card-60cm-usb-3-0-extension-original-imag4669dqdfhx5g.jpeg?q=70,https://www.flipkart.com/xsentuals-nvidia-pcie-riser-adapter-card-ver009s-009s-black-gold-16x-1x-60cm-usb-3-0-extension-cable-gpu-mining-bitcoin-ethereum-eth-zcash-zec-monero-xmr-16-gb-gddr4-graphics/p/itm8029f07e19396?pid=GRCG5ZH4F2ZJN7ET&lid=LSTGRCG5ZH4F2ZJN7ET6GNHIC&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_6_213&otracker=search&fm=organic&iid=7b0e8de2-fbc6-44df-86eb-c3669b0cf348.GRCG5ZH4F2ZJN7ET.SEARCH&ppt=None&ppn=None&ssid=l265oxqsrk0000001738684101011&qH=ae2a487734c75ca2,2/5/2025 16:45,1 x VER009S / 009S PCIe Riser Card,Xsentuals,NVIDIA 1,120 MHz,3,"PCIe Riser Adapter Card VER009S / 009S Black & Gold 16x to 1x 60cm USB 3.0 Extension Cable - GPU Riser Adapter - Mining Bitcoin, Ethereum ETH Zcash ZEC Monero XMR",,VER009S / 009S,"64-bit, 16 GB GDDR4 Memory",,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,
